office,district,candidate,party,reporting_level,jurisdiction,votes
U.S. Representative,1,Bruce Braley,,county,Black Hawk,24184
U.S. Representative,1,Benjamin M. Lange,,county,Black Hawk,19811
U.S. Representative,1,Rob J. Petsche,,county,Black Hawk,672
U.S. Representative,1,Jason A. Faulkner,,county,Black Hawk,298
U.S. Representative,1,Write-in,,county,Black Hawk,10
U.S. Representative,1,Over Votes,,county,Black Hawk,12
U.S. Representative,1,Under Votes,,county,Black Hawk,674
U.S. Representative,1,Total,,county,Black Hawk,45661
U.S. Representative,1,Bruce Braley,,county,Bremer,4434
U.S. Representative,1,Benjamin M. Lange,,county,Bremer,5103
U.S. Representative,1,Rob J. Petsche,,county,Bremer,129
U.S. Representative,1,Jason A. Faulkner,,county,Bremer,76
U.S. Representative,1,Write-in,,county,Bremer,3
U.S. Representative,1,Over Votes,,county,Bremer,0
U.S. Representative,1,Under Votes,,county,Bremer,171
U.S. Representative,1,Total,,county,Bremer,9916
U.S. Representative,1,Bruce Braley,,county,Buchanan,3504
U.S. Representative,1,Benjamin M. Lange,,county,Buchanan,4147
U.S. Representative,1,Rob J. Petsche,,county,Buchanan,138
U.S. Representative,1,Jason A. Faulkner,,county,Buchanan,80
U.S. Representative,1,Write-in,,county,Buchanan,2
U.S. Representative,1,Over Votes,,county,Buchanan,0
U.S. Representative,1,Under Votes,,county,Buchanan,140
U.S. Representative,1,Total,,county,Buchanan,8011
U.S. Representative,1,Bruce Braley,,county,Butler,2135
U.S. Representative,1,Benjamin M. Lange,,county,Butler,3293
U.S. Representative,1,Rob J. Petsche,,county,Butler,88
U.S. Representative,1,Jason A. Faulkner,,county,Butler,101
U.S. Representative,1,Write-in,,county,Butler,1
U.S. Representative,1,Over Votes,,county,Butler,2
U.S. Representative,1,Under Votes,,county,Butler,128
U.S. Representative,1,Total,,county,Butler,5748
U.S. Representative,1,Bruce Braley,,county,Clayton,3317
U.S. Representative,1,Benjamin M. Lange,,county,Clayton,3268
U.S. Representative,1,Rob J. Petsche,,county,Clayton,175
U.S. Representative,1,Jason A. Faulkner,,county,Clayton,120
U.S. Representative,1,Write-in,,county,Clayton,3
U.S. Representative,1,Over Votes,,county,Clayton,2
U.S. Representative,1,Under Votes,,county,Clayton,180
U.S. Representative,1,Total,,county,Clayton,7065
U.S. Representative,1,Bruce Braley,,county,Clinton,8811
U.S. Representative,1,Benjamin M. Lange,,county,Clinton,7618
U.S. Representative,1,Rob J. Petsche,,county,Clinton,341
U.S. Representative,1,Jason A. Faulkner,,county,Clinton,280
U.S. Representative,1,Write-in,,county,Clinton,7
U.S. Representative,1,Over Votes,,county,Clinton,7
U.S. Representative,1,Under Votes,,county,Clinton,360
U.S. Representative,1,Total,,county,Clinton,17424
U.S. Representative,1,Bruce Braley,,county,Delaware,2932
U.S. Representative,1,Benjamin M. Lange,,county,Delaware,3660
U.S. Representative,1,Rob J. Petsche,,county,Delaware,179
U.S. Representative,1,Jason A. Faulkner,,county,Delaware,106
U.S. Representative,1,Write-in,,county,Delaware,0
U.S. Representative,1,Over Votes,,county,Delaware,2
U.S. Representative,1,Under Votes,,county,Delaware,161
U.S. Representative,1,Total,,county,Delaware,7040
U.S. Representative,1,Bruce Braley,,county,Dubuque,17158
U.S. Representative,1,Benjamin M. Lange,,county,Dubuque,15161
U.S. Representative,1,Rob J. Petsche,,county,Dubuque,749
U.S. Representative,1,Jason A. Faulkner,,county,Dubuque,167
U.S. Representative,1,Write-in,,county,Dubuque,16
U.S. Representative,1,Over Votes,,county,Dubuque,11
U.S. Representative,1,Under Votes,,county,Dubuque,969
U.S. Representative,1,Total,,county,Dubuque,34231
U.S. Representative,1,Bruce Braley,,county,Fayette,3856
U.S. Representative,1,Benjamin M. Lange,,county,Fayette,3749
U.S. Representative,1,Rob J. Petsche,,county,Fayette,133
U.S. Representative,1,Jason A. Faulkner,,county,Fayette,119
U.S. Representative,1,Write-in,,county,Fayette,3
U.S. Representative,1,Over Votes,,county,Fayette,4
U.S. Representative,1,Under Votes,,county,Fayette,120
U.S. Representative,1,Total,,county,Fayette,7984
U.S. Representative,1,Bruce Braley,,county,Jackson,3915
U.S. Representative,1,Benjamin M. Lange,,county,Jackson,3051
U.S. Representative,1,Rob J. Petsche,,county,Jackson,184
U.S. Representative,1,Jason A. Faulkner,,county,Jackson,113
U.S. Representative,1,Write-in,,county,Jackson,3
U.S. Representative,1,Over Votes,,county,Jackson,4
U.S. Representative,1,Under Votes,,county,Jackson,298
U.S. Representative,1,Total,,county,Jackson,7568
U.S. Representative,1,Bruce Braley,,county,Jones,3595
U.S. Representative,1,Benjamin M. Lange,,county,Jones,3709
U.S. Representative,1,Rob J. Petsche,,county,Jones,163
U.S. Representative,1,Jason A. Faulkner,,county,Jones,130
U.S. Representative,1,Write-in,,county,Jones,2
U.S. Representative,1,Over Votes,,county,Jones,2
U.S. Representative,1,Under Votes,,county,Jones,191
U.S. Representative,1,Total,,county,Jones,7792
U.S. Representative,1,Bruce Braley,,county,Scott,26587
U.S. Representative,1,Benjamin M. Lange,,county,Scott,27649
U.S. Representative,1,Rob J. Petsche,,county,Scott,1136
U.S. Representative,1,Jason A. Faulkner,,county,Scott,502
U.S. Representative,1,Write-in,,county,Scott,26
U.S. Representative,1,Over Votes,,county,Scott,6
U.S. Representative,1,Under Votes,,county,Scott,1087
U.S. Representative,1,Total,,county,Scott,56993
U.S. Representative,1,Bruce Braley,,county,Grand Totals,104428
U.S. Representative,1,Benjamin M. Lange,,county,Grand Totals,100219
U.S. Representative,1,Rob J. Petsche,,county,Grand Totals,4087
U.S. Representative,1,Jason A. Faulkner,,county,Grand Totals,2092
U.S. Representative,1,Write-in,,county,Grand Totals,76
U.S. Representative,1,Over Votes,,county,Grand Totals,52
U.S. Representative,1,Under Votes,,county,Grand Totals,4479
U.S. Representative,1,Total,,county,Grand Totals,215433
U.S. Representative,,Dave Loebsack,,county,Appanoose,1729
U.S. Representative,,Mariannette Miller-Meeks,,county,Appanoose,2676
U.S. Representative,,Jon Tack,,county,Appanoose,59
U.S. Representative,,Gary Sicard,,county,Appanoose,93
U.S. Representative,,Write-in,,county,Appanoose,1
U.S. Representative,,Over Votes,,county,Appanoose,4
U.S. Representative,,Under Votes,,county,Appanoose,100
U.S. Representative,,Total,,county,Appanoose,4662
U.S. Representative,,Dave Loebsack,,county,Cedar,3094
U.S. Representative,,Mariannette Miller-Meeks,,county,Cedar,3586
U.S. Representative,,Jon Tack,,county,Cedar,86
U.S. Representative,,Gary Sicard,,county,Cedar,154
U.S. Representative,,Write-in,,county,Cedar,7
U.S. Representative,,Over Votes,,county,Cedar,4
U.S. Representative,,Under Votes,,county,Cedar,213
U.S. Representative,,Total,,county,Cedar,7144
U.S. Representative,,Dave Loebsack,,county,Davis,1240
U.S. Representative,,Mariannette Miller-Meeks,,county,Davis,1707
U.S. Representative,,Jon Tack,,county,Davis,56
U.S. Representative,,Gary Sicard,,county,Davis,55
U.S. Representative,,Write-in,,county,Davis,2
U.S. Representative,,Over Votes,,county,Davis,2
U.S. Representative,,Under Votes,,county,Davis,87
U.S. Representative,,Total,,county,Davis,3149
U.S. Representative,,Dave Loebsack,,county,Des Moines,7281
U.S. Representative,,Mariannette Miller-Meeks,,county,Des Moines,7037
U.S. Representative,,Jon Tack,,county,Des Moines,178
U.S. Representative,,Gary Sicard,,county,Des Moines,263
U.S. Representative,,Write-in,,county,Des Moines,7
U.S. Representative,,Over Votes,,county,Des Moines,8
U.S. Representative,,Under Votes,,county,Des Moines,311
U.S. Representative,,Total,,county,Des Moines,15085
U.S. Representative,,Dave Loebsack,,county,Henry,2440
U.S. Representative,,Mariannette Miller-Meeks,,county,Henry,4140
U.S. Representative,,Jon Tack,,county,Henry,66
U.S. Representative,,Gary Sicard,,county,Henry,118
U.S. Representative,,Write-in,,county,Henry,6
U.S. Representative,,Over Votes,,county,Henry,10
U.S. Representative,,Under Votes,,county,Henry,144
U.S. Representative,,Total,,county,Henry,6924
U.S. Representative,,Dave Loebsack,,county,Jefferson,3397
U.S. Representative,,Mariannette Miller-Meeks,,county,Jefferson,3066
U.S. Representative,,Jon Tack,,county,Jefferson,51
U.S. Representative,,Gary Sicard,,county,Jefferson,142
U.S. Representative,,Write-in,,county,Jefferson,5
U.S. Representative,,Over Votes,,county,Jefferson,3
U.S. Representative,,Under Votes,,county,Jefferson,191
U.S. Representative,,Total,,county,Jefferson,6855
U.S. Representative,,Dave Loebsack,,county,Johnson,31844
U.S. Representative,,Mariannette Miller-Meeks,,county,Johnson,17920
U.S. Representative,,Jon Tack,,county,Johnson,418
U.S. Representative,,Gary Sicard,,county,Johnson,978
U.S. Representative,,Write-in,,county,Johnson,74
U.S. Representative,,Over Votes,,county,Johnson,24
U.S. Representative,,Under Votes,,county,Johnson,2597
U.S. Representative,,Total,,county,Johnson,53855
U.S. Representative,,Dave Loebsack,,county,Lee,5706
U.S. Representative,,Mariannette Miller-Meeks,,county,Lee,5639
U.S. Representative,,Jon Tack,,county,Lee,121
U.S. Representative,,Gary Sicard,,county,Lee,282
U.S. Representative,,Write-in,,county,Lee,9
U.S. Representative,,Over Votes,,county,Lee,2
U.S. Representative,,Under Votes,,county,Lee,187
U.S. Representative,,Total,,county,Lee,11946
U.S. Representative,,Dave Loebsack,,county,Linn,41336
U.S. Representative,,Mariannette Miller-Meeks,,county,Linn,35911
U.S. Representative,,Jon Tack,,county,Linn,785
U.S. Representative,,Gary Sicard,,county,Linn,1524
U.S. Representative,,Write-in,,county,Linn,60
U.S. Representative,,Over Votes,,county,Linn,12
U.S. Representative,,Under Votes,,county,Linn,1004
U.S. Representative,,Total,,county,Linn,80632
U.S. Representative,,Dave Loebsack,,county,Louisa,1215
U.S. Representative,,Mariannette Miller-Meeks,,county,Louisa,2029
U.S. Representative,,Jon Tack,,county,Louisa,53
U.S. Representative,,Gary Sicard,,county,Louisa,64
U.S. Representative,,Write-in,,county,Louisa,2
U.S. Representative,,Over Votes,,county,Louisa,7
U.S. Representative,,Under Votes,,county,Louisa,49
U.S. Representative,,Total,,county,Louisa,3419
U.S. Representative,,Dave Loebsack,,county,Muscatine,5699
U.S. Representative,,Mariannette Miller-Meeks,,county,Muscatine,6974
U.S. Representative,,Jon Tack,,county,Muscatine,150
U.S. Representative,,Gary Sicard,,county,Muscatine,257
U.S. Representative,,Write-in,,county,Muscatine,13
