office,district,candidate,party,reporting_level,jurisdiction,votes
Governor,,Tom Vilsack & Sally Pederson,Democratic Party,county,ADAIR,1728
Governor,,Doug Gross & Debi Durham,Republican Party,county,ADAIR,1440
Governor,,Jay Robinson & Holly Jane Hart,Iowa Green Party,county,ADAIR,48
Governor,,Clyde Cleveland & Richard Campagna,Libertarian Party,county,ADAIR,55
Governor,,Write-In Votes,,county,ADAIR,7
Governor,,Totals,,county,ADAIR,3278
Governor,,Tom Vilsack & Sally Pederson,Democratic Party,county,ADAMS,867
Governor,,Doug Gross & Debi Durham,Republican Party,county,ADAMS,829
Governor,,Jay Robinson & Holly Jane Hart,Iowa Green Party,county,ADAMS,28
Governor,,Clyde Cleveland & Richard Campagna,Libertarian Party,county,ADAMS,15
Governor,,Write-In Votes,,county,ADAMS,1
Governor,,Totals,,county,ADAMS,1740
Governor,,Tom Vilsack & Sally Pederson,Democratic Party,county,ALLAMAKEE,2228
Governor,,Doug Gross & Debi Durham,Republican Party,county,ALLAMAKEE,2520
Governor,,Jay Robinson & Holly Jane Hart,Iowa Green Party,county,ALLAMAKEE,119
Governor,,Clyde Cleveland & Richard Campagna,Libertarian Party,county,ALLAMAKEE,75
Governor,,Write-In Votes,,county,ALLAMAKEE,6
Governor,,Totals,,county,ALLAMAKEE,4948
Governor,,Tom Vilsack & Sally Pederson,Democratic Party,county,APPANOOSE,2490
Governor,,Doug Gross & Debi Durham,Republican Party,county,APPANOOSE,2211
Governor,,Jay Robinson & Holly Jane Hart,Iowa Green Party,county,APPANOOSE,57
Governor,,Clyde Cleveland & Richard Campagna,Libertarian Party,county,APPANOOSE,38
Governor,,Write-In Votes,,county,APPANOOSE,4
Governor,,Totals,,county,APPANOOSE,4800
Governor,,Tom Vilsack & Sally Pederson,Democratic Party,county,AUDUBON,1310
Governor,,Doug Gross & Debi Durham,Republican Party,county,AUDUBON,1183
Governor,,Jay Robinson & Holly Jane Hart,Iowa Green Party,county,AUDUBON,27
Governor,,Clyde Cleveland & Richard Campagna,Libertarian Party,county,AUDUBON,34
Governor,,Write-In Votes,,county,AUDUBON,0
Governor,,Totals,,county,AUDUBON,2554
Governor,,Tom Vilsack & Sally Pederson,Democratic Party,county,BENTON,4758
Governor,,Doug Gross & Debi Durham,Republican Party,county,BENTON,4137
Governor,,Jay Robinson & Holly Jane Hart,Iowa Green Party,county,BENTON,122
