office,district,candidate,party,reporting_level,jurisdiction,votes
State Senate,2,John Redwine,Republican,county,Plymouth,6719
State Senate,2,Scattering,,county,Plymouth,8
State Senate,2,Totals,,county,Plymouth,6727
State Senate,2,John Redwine,Republican,county,Woodbury,11678
State Senate,2,Scattering,,county,Woodbury,128
State Senate,2,Totals,,county,Woodbury,11806
State Senate,2,John Redwine,Republican,racewide,Totals,18397
State Senate,2,Scattering,,racewide,Totals,136
State Senate,2,Totals,,racewide,Totals,18533
State Senate,4,John P. Kibbie,Democratic,county,Clay,4254
State Senate,4,Jeffrey Thee,Republican,county,Clay,2897
State Senate,4,Scattering,,county,Clay,3
State Senate,4,Totals,,county,Clay,7154
State Senate,4,John P. Kibbie,Democratic,county,Dickinson,4104
State Senate,4,Jeffrey Thee,Republican,county,Dickinson,3883
State Senate,4,Scattering,,county,Dickinson,4
State Senate,4,Totals,,county,Dickinson,7991
State Senate,4,John P. Kibbie,Democratic,county,Emmet,3052
State Senate,4,Jeffrey Thee,Republican,county,Emmet,1502
State Senate,4,Scattering,,county,Emmet,0
State Senate,4,Totals,,county,Emmet,4554
State Senate,4,John P. Kibbie,Democratic,county,Kossuth,445
State Senate,4,Jeffrey Thee,Republican,county,Kossuth,188
State Senate,4,Scattering,,county,Kossuth,0
State Senate,4,Totals,,county,Kossuth,633
State Senate,4,John P. Kibbie,Democratic,county,Palo Alto,3391
State Senate,4,Jeffrey Thee,Republican,county,Palo Alto,1091
State Senate,4,Scattering,,county,Palo Alto,0
State Senate,4,Totals,,county,Palo Alto,4482
State Senate,4,John P. Kibbie,Democratic,racewide,Totals,15246
State Senate,4,Jeffrey Thee,Republican,racewide,Totals,9561
State Senate,4,Scattering,,racewide,Totals,7
State Senate,4,Totals,,racewide,Totals,24814
State Senate,6,Dennis J. Ryan,Democratic,county,Crawford,1554
State Senate,6,Steve King,Republican,county,Crawford,4330
State Senate,6,Scattering,,county,Crawford,0
State Senate,6,Totals,,county,Crawford,5884
State Senate,6,Dennis J. Ryan,Democratic,county,Ida,824
State Senate,6,Steve King,Republican,county,Ida,2214
State Senate,6,Scattering,,county,Ida,1
State Senate,6,Totals,,county,Ida,3039
State Senate,6,Dennis J. Ryan,Democratic,county,Monona,1614
State Senate,6,Steve King,Republican,county,Monona,2699
State Senate,6,Scattering,,county,Monona,4
State Senate,6,Totals,,county,Monona,4317
State Senate,6,Dennis J. Ryan,Democratic,county,Sac,1301
State Senate,6,Steve King,Republican,county,Sac,3544
State Senate,6,Scattering,,county,Sac,0
State Senate,6,Totals,,county,Sac,4845
State Senate,6,Dennis J. Ryan,Democratic,county,Woodbury,1177
State Senate,6,Steve King,Republican,county,Woodbury,2055
State Senate,6,Scattering,,county,Woodbury,6
