office,district,candidate,party,reporting_level,jurisdiction,votes
U.S. House of Representatives,1,Bruce Braley,D,county,Allamakee,226
U.S. House of Representatives,1,Write-In,D,county,Allamakee,1
U.S. House of Representatives,1,Under Votes,D,county,Allamakee,32
U.S. House of Representatives,1,Over Votes,D,county,Allamakee,0
U.S. House of Representatives,1,Total,D,county,Allamakee,259
U.S. House of Representatives,1,Bruce Braley,D,county,Benton,650
U.S. House of Representatives,1,Write-In,D,county,Benton,5
U.S. House of Representatives,1,Under Votes,D,county,Benton,84
U.S. House of Representatives,1,Over Votes,D,county,Benton,0
U.S. House of Representatives,1,Total,D,county,Benton,739
U.S. House of Representatives,1,Bruce Braley,D,county,Black Hawk,952
U.S. House of Representatives,1,Write-In,D,county,Black Hawk,7
U.S. House of Representatives,1,Under Votes,D,county,Black Hawk,59
U.S. House of Representatives,1,Over Votes,D,county,Black Hawk,0
U.S. House of Representatives,1,Total,D,county,Black Hawk,1018
U.S. House of Representatives,1,Bruce Braley,D,county,Bremer,341
U.S. House of Representatives,1,Write-In,D,county,Bremer,3
U.S. House of Representatives,1,Under Votes,D,county,Bremer,6
U.S. House of Representatives,1,Over Votes,D,county,Bremer,0
U.S. House of Representatives,1,Total,D,county,Bremer,350
U.S. House of Representatives,1,Bruce Braley,D,county,Buchanan,214
U.S. House of Representatives,1,Write-In,D,county,Buchanan,4
U.S. House of Representatives,1,Under Votes,D,county,Buchanan,14
U.S. House of Representatives,1,Over Votes,D,county,Buchanan,0
U.S. House of Representatives,1,Total,D,county,Buchanan,232
U.S. House of Representatives,1,Bruce Braley,D,county,Clayton,181
U.S. House of Representatives,1,Write-In,D,county,Clayton,2
U.S. House of Representatives,1,Under Votes,D,county,Clayton,7
U.S. House of Representatives,1,Over Votes,D,county,Clayton,0
U.S. House of Representatives,1,Total,D,county,Clayton,190
U.S. House of Representatives,1,Bruce Braley,D,county,Delaware,155
U.S. House of Representatives,1,Write-In,D,county,Delaware,0
U.S. House of Representatives,1,Under Votes,D,county,Delaware,7
U.S. House of Representatives,1,Over Votes,D,county,Delaware,0
U.S. House of Representatives,1,Total,D,county,Delaware,162
U.S. House of Representatives,1,Bruce Braley,D,county,Dubuque,1103
U.S. House of Representatives,1,Write-In,D,county,Dubuque,6
U.S. House of Representatives,1,Under Votes,D,county,Dubuque,104
U.S. House of Representatives,1,Over Votes,D,county,Dubuque,0
U.S. House of Representatives,1,Total,D,county,Dubuque,1213
U.S. House of Representatives,1,Bruce Braley,D,county,Fayette,816
U.S. House of Representatives,1,Write-In,D,county,Fayette,4
U.S. House of Representatives,1,Under Votes,D,county,Fayette,91
U.S. House of Representatives,1,Over Votes,D,county,Fayette,0
U.S. House of Representatives,1,Total,D,county,Fayette,911
U.S. House of Representatives,1,Bruce Braley,D,county,Howard,121
U.S. House of Representatives,1,Write-In,D,county,Howard,1
U.S. House of Representatives,1,Under Votes,D,county,Howard,13
U.S. House of Representatives,1,Over Votes,D,county,Howard,0
U.S. House of Representatives,1,Total,D,county,Howard,135
U.S. House of Representatives,1,Bruce Braley,D,county,Iowa,204
U.S. House of Representatives,1,Write-In,D,county,Iowa,1
U.S. House of Representatives,1,Under Votes,D,county,Iowa,11
U.S. House of Representatives,1,Over Votes,D,county,Iowa,0
U.S. House of Representatives,1,Total,D,county,Iowa,216
U.S. House of Representatives,1,Bruce Braley,D,county,Jackson,259
U.S. House of Representatives,1,Write-In,D,county,Jackson,2
U.S. House of Representatives,1,Under Votes,D,county,Jackson,24
U.S. House of Representatives,1,Over Votes,D,county,Jackson,0
U.S. House of Representatives,1,Total,D,county,Jackson,285
U.S. House of Representatives,1,Bruce Braley,D,county,Jones,193
U.S. House of Representatives,1,Write-In,D,county,Jones,2
U.S. House of Representatives,1,Under Votes,D,county,Jones,13
U.S. House of Representatives,1,Over Votes,D,county,Jones,0
U.S. House of Representatives,1,Total,D,county,Jones,208
U.S. House of Representatives,1,Bruce Braley,D,county,Linn,4599
U.S. House of Representatives,1,Write-In,D,county,Linn,41
U.S. House of Representatives,1,Under Votes,D,county,Linn,694
U.S. House of Representatives,1,Over Votes,D,county,Linn,0
U.S. House of Representatives,1,Total,D,county,Linn,5334
U.S. House of Representatives,1,Bruce Braley,D,county,Marshall,374
U.S. House of Representatives,1,Write-In,D,county,Marshall,3
U.S. House of Representatives,1,Under Votes,D,county,Marshall,63
U.S. House of Representatives,1,Over Votes,D,county,Marshall,0
U.S. House of Representatives,1,Total,D,county,Marshall,440
U.S. House of Representatives,1,Bruce Braley,D,county,Mitchell,87
U.S. House of Representatives,1,Write-In,D,county,Mitchell,0
U.S. House of Representatives,1,Under Votes,D,county,Mitchell,2
U.S. House of Representatives,1,Over Votes,D,county,Mitchell,0
U.S. House of Representatives,1,Total,D,county,Mitchell,89
U.S. House of Representatives,1,Bruce Braley,D,county,Poweshiek,424
U.S. House of Representatives,1,Write-In,D,county,Poweshiek,2
U.S. House of Representatives,1,Under Votes,D,county,Poweshiek,0
U.S. House of Representatives,1,Over Votes,D,county,Poweshiek,31
U.S. House of Representatives,1,Total,D,county,Poweshiek,457
U.S. House of Representatives,1,Bruce Braley,D,county,Tama,494
U.S. House of Representatives,1,Write-In,D,county,Tama,5
U.S. House of Representatives,1,Under Votes,D,county,Tama,73
U.S. House of Representatives,1,Over Votes,D,county,Tama,0
U.S. House of Representatives,1,Total,D,county,Tama,572
U.S. House of Representatives,1,Bruce Braley,D,county,Winneshiek,276
U.S. House of Representatives,1,Write-In,D,county,Winneshiek,0
U.S. House of Representatives,1,Under Votes,D,county,Winneshiek,23
U.S. House of Representatives,1,Over Votes,D,county,Winneshiek,0
U.S. House of Representatives,1,Total,D,county,Winneshiek,299
U.S. House of Representatives,1,Bruce Braley,D,county,Worth,243
U.S. House of Representatives,1,Write-In,D,county,Worth,3
U.S. House of Representatives,1,Under Votes,D,county,Worth,50
U.S. House of Representatives,1,Over Votes,D,county,Worth,0
U.S. House of Representatives,1,Total,D,county,Worth,296
U.S. House of Representatives,1,Bruce Braley,D,county,Total,11912
U.S. House of Representatives,1,Write-In,D,county,Total,92
U.S. House of Representatives,1,Under Votes,D,county,Total,1370
U.S. House of Representatives,1,Over Votes,D,county,Total,31
U.S. House of Representatives,1,Total,D,county,Total,13405
U.S. House of Representatives,1,Rod Blum,R,county,Allamakee,829
U.S. House of Representatives,1,Ben Lange,R,county,Allamakee,1143
U.S. House of Representatives,1,Write-In,R,county,Allamakee,5
U.S. House of Representatives,1,Under Votes,R,county,Allamakee,437
U.S. House of Representatives,1,Over Votes,R,county,Allamakee,0
U.S. House of Representatives,1,Total,R,county,Allamakee,2414
U.S. House of Representatives,1,Rod Blum,R,county,Benton,380
U.S. House of Representatives,1,Ben Lange,R,county,Benton,482
U.S. House of Representatives,1,Write-In,R,county,Benton,10
U.S. House of Representatives,1,Under Votes,R,county,Benton,57
U.S. House of Representatives,1,Over Votes,R,county,Benton,0
U.S. House of Representatives,1,Total,R,county,Benton,929
U.S. House of Representatives,1,Rod Blum,R,county,Black Hawk,1269
U.S. House of Representatives,1,Ben Lange,R,county,Black Hawk,1737
U.S. House of Representatives,1,Write-In,R,county,Black Hawk,14
U.S. House of Representatives,1,Under Votes,R,county,Black Hawk,55
U.S. House of Representatives,1,Over Votes,R,county,Black Hawk,0
U.S. House of Representatives,1,Total,R,county,Black Hawk,3075
U.S. House of Representatives,1,Rod Blum,R,county,Bremer,578
U.S. House of Representatives,1,Ben Lange,R,county,Bremer,695
U.S. House of Representatives,1,Write-In,R,county,Bremer,4
U.S. House of Representatives,1,Under Votes,R,county,Bremer,65
U.S. House of Representatives,1,Over Votes,R,county,Bremer,0
U.S. House of Representatives,1,Total,R,county,Bremer,1342
U.S. House of Representatives,1,Rod Blum,R,county,Buchanan,129
U.S. House of Representatives,1,Ben Lange,R,county,Buchanan,673
U.S. House of Representatives,1,Write-In,R,county,Buchanan,0
U.S. House of Representatives,1,Under Votes,R,county,Buchanan,2
U.S. House of Representatives,1,Over Votes,R,county,Buchanan,0
U.S. House of Representatives,1,Total,R,county,Buchanan,804
U.S. House of Representatives,1,Rod Blum,R,county,Clayton,262
U.S. House of Representatives,1,Ben Lange,R,county,Clayton,248
U.S. House of Representatives,1,Write-In,R,county,Clayton,2
U.S. House of Representatives,1,Under Votes,R,county,Clayton,4
U.S. House of Representatives,1,Over Votes,R,county,Clayton,0
U.S. House of Representatives,1,Total,R,county,Clayton,516
U.S. House of Representatives,1,Rod Blum,R,county,Delaware,194
U.S. House of Representatives,1,Ben Lange,R,county,Delaware,540
U.S. House of Representatives,1,Write-In,R,county,Delaware,0
U.S. House of Representatives,1,Under Votes,R,county,Delaware,19
U.S. House of Representatives,1,Over Votes,R,county,Delaware,0
U.S. House of Representatives,1,Total,R,county,Delaware,753
U.S. House of Representatives,1,Rod Blum,R,county,Dubuque,1609
U.S. House of Representatives,1,Ben Lange,R,county,Dubuque,910
U.S. House of Representatives,1,Write-In,R,county,Dubuque,12
U.S. House of Representatives,1,Under Votes,R,county,Dubuque,15
U.S. House of Representatives,1,Over Votes,R,county,Dubuque,0
U.S. House of Representatives,1,Total,R,county,Dubuque,2546
U.S. House of Representatives,1,Rod Blum,R,county,Fayette,483
U.S. House of Representatives,1,Ben Lange,R,county,Fayette,1025
U.S. House of Representatives,1,Write-In,R,county,Fayette,1
U.S. House of Representatives,1,Under Votes,R,county,Fayette,138
U.S. House of Representatives,1,Over Votes,R,county,Fayette,0
U.S. House of Representatives,1,Total,R,county,Fayette,1647
U.S. House of Representatives,1,Rod Blum,R,county,Howard,100
U.S. House of Representatives,1,Ben Lange,R,county,Howard,111
U.S. House of Representatives,1,Write-In,R,county,Howard,0
U.S. House of Representatives,1,Under Votes,R,county,Howard,9
U.S. House of Representatives,1,Over Votes,R,county,Howard,0
U.S. House of Representatives,1,Total,R,county,Howard,220
U.S. House of Representatives,1,Rod Blum,R,county,Iowa,178
U.S. House of Representatives,1,Ben Lange,R,county,Iowa,191
U.S. House of Representatives,1,Write-In,R,county,Iowa,0
U.S. House of Representatives,1,Under Votes,R,county,Iowa,19
U.S. House of Representatives,1,Over Votes,R,county,Iowa,0
U.S. House of Representatives,1,Total,R,county,Iowa,388
U.S. House of Representatives,1,Rod Blum,R,county,Jackson,196
U.S. House of Representatives,1,Ben Lange,R,county,Jackson,202
U.S. House of Representatives,1,Write-In,R,county,Jackson,0
U.S. House of Representatives,1,Under Votes,R,county,Jackson,2
U.S. House of Representatives,1,Over Votes,R,county,Jackson,0
U.S. House of Representatives,1,Total,R,county,Jackson,400
U.S. House of Representatives,1,Rod Blum,R,county,Jones,222
U.S. House of Representatives,1,Ben Lange,R,county,Jones,331
U.S. House of Representatives,1,Write-In,R,county,Jones,0
U.S. House of Representatives,1,Under Votes,R,county,Jones,16
U.S. House of Representatives,1,Over Votes,R,county,Jones,0
U.S. House of Representatives,1,Total,R,county,Jones,569
