office,district,candidate,party,reporting_level,jurisdiction,votes
State Representative,001,Wesley Whitead,Democratic,county,WOODBURY,206
State Representative,001,Write-In Votes,Democratic,county,WOODBURY,1
State Representative,001,Totals,Democratic,county,WOODBURY,207
State Representative,001,Wesley Whitead,Democratic,racewide,Totals,206
State Representative,001,Write-In Votes,Democratic,racewide,Totals,1
State Representative,001,Totals,Democratic,racewide,Totals,207
State Representative,001,Write-In Votes,Iowa Green Party,county,WOODBURY,0
State Representative,001,Totals,Iowa Green Party,county,WOODBURY,
State Representative,001,Write-In Votes,Iowa Green Party,racewide,Totals,0
State Representative,001,Totals,Iowa Green Party,racewide,Totals,
State Representative,001,Write-In Votes,Republican,county,WOODBURY,43
State Representative,001,Totals,Republican,county,WOODBURY,
State Representative,001,Write-In Votes,Republican,racewide,Totals,43
State Representative,001,Totals,Republican,racewide,Totals,
State Representative,002,Roger F. Wendt,Democratic,county,WOODBURY,166
State Representative,002,Write-In Votes,Democratic,county,WOODBURY,1
State Representative,002,Totals,Democratic,county,WOODBURY,167
State Representative,002,Roger F. Wendt,Democratic,racewide,Totals,166
State Representative,002,Write-In Votes,Democratic,racewide,Totals,1
State Representative,002,Totals,Democratic,racewide,Totals,167
State Representative,002,Write-In Votes,Iowa Green Party,county,WOODBURY,1
State Representative,002,Totals,Iowa Green Party,county,WOODBURY,
State Representative,002,Write-In Votes,Iowa Green Party,racewide,Totals,1
State Representative,002,Totals,Iowa Green Party,racewide,Totals,
State Representative,002,Write-In Votes,Republican,county,WOODBURY,27
State Representative,002,Totals,Republican,county,WOODBURY,
State Representative,002,Write-In Votes,Republican,racewide,Totals,27
State Representative,002,Totals,Republican,racewide,Totals,
State Representative,003,Write-In Votes,Democrat,county,PLYMOUTH,0
State Representative,003,Totals,Democrat,county,PLYMOUTH,
State Representative,003,Write-In Votes,Democrat,county,SIOUX,0
State Representative,003,Totals,Democrat,county,SIOUX,
State Representative,003,Write-In Votes,Democrat,racewide,Totals,0
State Representative,003,Totals,Democrat,racewide,Totals,
State Representative,003,Write-In Votes,Iowa Green Party,county,PLYMOUTH,0
State Representative,003,Totals,Iowa Green Party,county,PLYMOUTH,
State Representative,003,Write-In Votes,Iowa Green Party,county,SIOUX,0
State Representative,003,Totals,Iowa Green Party,county,SIOUX,
State Representative,003,Write-In Votes,Iowa Green Party,racewide,Totals,0
State Representative,003,Totals,Iowa Green Party,racewide,Totals,
State Representative,003,Ralph F. Klemme,Republican,county,PLYMOUTH,1384
State Representative,003,Write-In Votes,Republican,county,PLYMOUTH,0
State Representative,003,Totals,Republican,county,PLYMOUTH,1384
State Representative,003,Ralph F. Klemme,Republican,county,SIOUX,1608
