office,district,candidate,party,reporting_level,county,jurisdiction,votes
State Senate,48,Ruth Smith,,precinct,Adams,Absentee,65
State Senate,48,Joni .K. Ernst,,precinct,Adams,Absentee,174
State Senate,48,Overvote,,precinct,Adams,Absentee,0
State Senate,48,Undervote,,precinct,Adams,Absentee,0
State Senate,48,Scattering,,precinct,Adams,Absentee,0
State Senate,48,Total,,precinct,Adams,Absentee,239
State Senate,48,Ruth Smith,,precinct,Adams,Carbon United Methodist Hall,18
State Senate,48,Joni .K. Ernst,,precinct,Adams,Carbon United Methodist Hall,33
State Senate,48,Overvote,,precinct,Adams,Carbon United Methodist Hall,0
State Senate,48,Undervote,,precinct,Adams,Carbon United Methodist Hall,0
State Senate,48,Scattering,,precinct,Adams,Carbon United Methodist Hall,0
State Senate,48,Total,,precinct,Adams,Carbon United Methodist Hall,51
State Senate,48,Ruth Smith,,precinct,Adams,Corning American Legion - CG1A,7
State Senate,48,Joni .K. Ernst,,precinct,Adams,Corning American Legion - CG1A,37
State Senate,48,Overvote,,precinct,Adams,Corning American Legion - CG1A,0
State Senate,48,Undervote,,precinct,Adams,Corning American Legion - CG1A,0
State Senate,48,Scattering,,precinct,Adams,Corning American Legion - CG1A,0
State Senate,48,Total,,precinct,Adams,Corning American Legion - CG1A,44
State Senate,48,Ruth Smith,,precinct,Adams,Corning American Legion - CG2A,15
State Senate,48,Joni .K. Ernst,,precinct,Adams,Corning American Legion - CG2A,15
State Senate,48,Overvote,,precinct,Adams,Corning American Legion - CG2A,0
State Senate,48,Undervote,,precinct,Adams,Corning American Legion - CG2A,0
State Senate,48,Scattering,,precinct,Adams,Corning American Legion - CG2A,0
State Senate,48,Total,,precinct,Adams,Corning American Legion - CG2A,30
State Senate,48,Ruth Smith,,precinct,Adams,Corning American Legion - CG3A,6
State Senate,48,Joni .K. Ernst,,precinct,Adams,Corning American Legion - CG3A,22
State Senate,48,Overvote,,precinct,Adams,Corning American Legion - CG3A,0
State Senate,48,Undervote,,precinct,Adams,Corning American Legion - CG3A,0
State Senate,48,Scattering,,precinct,Adams,Corning American Legion - CG3A,0
State Senate,48,Total,,precinct,Adams,Corning American Legion - CG3A,28
State Senate,48,Ruth Smith,,precinct,Adams,Corning Community Center - CG1B,5
State Senate,48,Joni .K. Ernst,,precinct,Adams,Corning Community Center - CG1B,2
State Senate,48,Overvote,,precinct,Adams,Corning Community Center - CG1B,0
State Senate,48,Undervote,,precinct,Adams,Corning Community Center - CG1B,0
State Senate,48,Scattering,,precinct,Adams,Corning Community Center - CG1B,0
State Senate,48,Total,,precinct,Adams,Corning Community Center - CG1B,7
State Senate,48,Ruth Smith,,precinct,Adams,Corning Community Center - CG2B,9
State Senate,48,Joni .K. Ernst,,precinct,Adams,Corning Community Center - CG2B,6
State Senate,48,Overvote,,precinct,Adams,Corning Community Center - CG2B,0
State Senate,48,Undervote,,precinct,Adams,Corning Community Center - CG2B,0
