office,district,candidate,party,reporting_level,jurisdiction,votes
State House of Representatives,1,Wesley Whitead,Democratic,county,Woodbury,4662
State House of Representatives,1,Greg Hoversten,Republican,county,Woodbury,5514
State House of Representatives,1,Scattering,,county,Woodbury,10
State House of Representatives,1,Totals,,county,Woodbury,10186
State House of Representatives,1,Wesley Whitead,Democratic,racewide,Totals,4662
State House of Representatives,1,Greg Hoversten,Republican,racewide,Totals,5514
State House of Representatives,1,Scattering,,racewide,Totals,10
State House of Representatives,1,Totals,,racewide,Totals,10186
State House of Representatives,2,Steve Warnstadt,Democratic,county,Woodbury,5787
State House of Representatives,2,Joel Arends,Republican,county,Woodbury,2670
State House of Representatives,2,Scattering,,county,Woodbury,12
State House of Representatives,2,Totals,,county,Woodbury,8469
State House of Representatives,2,Steve Warnstadt,Democratic,racewide,Totals,5787
State House of Representatives,2,Joel Arends,Republican,racewide,Totals,2670
State House of Representatives,2,Scattering,,racewide,Totals,12
State House of Representatives,2,Totals,,racewide,Totals,8469
State House of Representatives,3,Russ Frazier,Democratic,county,Woodbury,3944
State House of Representatives,3,Christopher C. Rants,Republican,county,Woodbury,7868
State House of Representatives,3,Scattering,,county,Woodbury,16
State House of Representatives,3,Totals,,county,Woodbury,11828
State House of Representatives,3,Russ Frazier,Democratic,racewide,Totals,3944
State House of Representatives,3,Christopher C. Rants,Republican,racewide,Totals,7868
State House of Representatives,3,Scattering,,racewide,Totals,16
State House of Representatives,3,Totals,,racewide,Totals,11828
State House of Representatives,4,Ralph F. Klemme,Republican,county,Plymouth,7087
State House of Representatives,4,Scattering,,county,Plymouth,13
State House of Representatives,4,Totals,,county,Plymouth,7100
State House of Representatives,4,Ralph F. Klemme,Republican,county,Woodbury,2481
State House of Representatives,4,Scattering,,county,Woodbury,20
State House of Representatives,4,Totals,,county,Woodbury,2501
State House of Representatives,4,Ralph F. Klemme,Republican,racewide,Totals,9568
State House of Representatives,4,Scattering,,racewide,Totals,33
State House of Representatives,4,Totals,,racewide,Totals,9601
State House of Representatives,5,Dwayne Arlan Alons,Republican,county,Sioux,11133
State House of Representatives,5,Scattering,,county,Sioux,0
State House of Representatives,5,Totals,,county,Sioux,11133
State House of Representatives,5,Dwayne Arlan Alons,Republican,racewide,Totals,11133
State House of Representatives,5,Scattering,,racewide,Totals,0
State House of Representatives,5,Totals,,racewide,Totals,11133
State House of Representatives,6,David J. Johnson,Republican,county,Lyon,4259
State House of Representatives,6,Scattering,,county,Lyon,10
State House of Representatives,6,Totals,,county,Lyon,4269
State House of Representatives,6,David J. Johnson,Republican,county,O'Brien,2419
State House of Representatives,6,Scattering,,county,O'Brien,14
State House of Representatives,6,Totals,,county,O'Brien,2433
State House of Representatives,6,David J. Johnson,Republican,county,Osceola,2463
State House of Representatives,6,Scattering,,county,Osceola,5
State House of Representatives,6,Totals,,county,Osceola,2468
State House of Representatives,6,David J. Johnson,Republican,county,Sioux,739
State House of Representatives,6,Scattering,,county,Sioux,0
State House of Representatives,6,Totals,,county,Sioux,739
State House of Representatives,6,David J. Johnson,Republican,racewide,Totals,9880
State House of Representatives,6,Scattering,,racewide,Totals,29
State House of Representatives,6,Totals,,racewide,Totals,9909
State House of Representatives,7,Greg Stevens,Democratic,county,Dickinson,5031
State House of Representatives,7,Terry Slight,Republican,county,Dickinson,2642
State House of Representatives,7,Dan Rogers,Libertarian Party of Iowa,county,Dickinson,203
State House of Representatives,7,Scattering,,county,Dickinson,3
State House of Representatives,7,Totals,,county,Dickinson,7879
State House of Representatives,7,Greg Stevens,Democratic,county,Emmet,2856
State House of Representatives,7,Terry Slight,Republican,county,Emmet,1592
State House of Representatives,7,Dan Rogers,Libertarian Party of Iowa,county,Emmet,66
State House of Representatives,7,Scattering,,county,Emmet,0
State House of Representatives,7,Totals,,county,Emmet,4514
State House of Representatives,7,Greg Stevens,Democratic,county,Palo Alto,394
State House of Representatives,7,Terry Slight,Republican,county,Palo Alto,148
State House of Representatives,7,Dan Rogers,Libertarian Party of Iowa,county,Palo Alto,8
State House of Representatives,7,Scattering,,county,Palo Alto,0
State House of Representatives,7,Totals,,county,Palo Alto,550
State House of Representatives,7,Greg Stevens,Democratic,racewide,Totals,8281
State House of Representatives,7,Terry Slight,Republican,racewide,Totals,4382
State House of Representatives,7,Dan Rogers,Libertarian Party of Iowa,racewide,Totals,277
State House of Representatives,7,Scattering,,racewide,Totals,3
State House of Representatives,7,Totals,,racewide,Totals,12943
State House of Representatives,8,Marcella R. Frevert,Democratic,county,Clay,3856
State House of Representatives,8,Mike Scott,Republican,county,Clay,3388
State House of Representatives,8,Scattering,,county,Clay,5
State House of Representatives,8,Totals,,county,Clay,7249
State House of Representatives,8,Marcella R. Frevert,Democratic,county,Kossuth,364
State House of Representatives,8,Mike Scott,Republican,county,Kossuth,275
State House of Representatives,8,Scattering,,county,Kossuth,3
State House of Representatives,8,Totals,,county,Kossuth,642
State House of Representatives,8,Marcella R. Frevert,Democratic,county,Palo Alto,2731
State House of Representatives,8,Mike Scott,Republican,county,Palo Alto,1413
State House of Representatives,8,Scattering,,county,Palo Alto,0
State House of Representatives,8,Totals,,county,Palo Alto,4144
State House of Representatives,8,Marcella R. Frevert,Democratic,racewide,Totals,6951
State House of Representatives,8,Mike Scott,Republican,racewide,Totals,5076
State House of Representatives,8,Scattering,,racewide,Totals,8
State House of Representatives,8,Totals,,racewide,Totals,12035
State House of Representatives,9,Dan Huseman,Republican,county,Buena Vista,752
State House of Representatives,9,Scattering,,county,Buena Vista,0
State House of Representatives,9,Totals,,county,Buena Vista,752
State House of Representatives,9,Dan Huseman,Republican,county,Cherokee,5156
State House of Representatives,9,Scattering,,county,Cherokee,18
State House of Representatives,9,Totals,,county,Cherokee,5174
State House of Representatives,9,Dan Huseman,Republican,county,O'Brien,3029
State House of Representatives,9,Scattering,,county,O'Brien,17
State House of Representatives,9,Totals,,county,O'Brien,3046
State House of Representatives,9,Dan Huseman,Republican,county,Plymouth,778
State House of Representatives,9,Scattering,,county,Plymouth,0
State House of Representatives,9,Totals,,county,Plymouth,778
State House of Representatives,9,Dan Huseman,Republican,racewide,Totals,9715
State House of Representatives,9,Scattering,,racewide,Totals,35
State House of Representatives,9,Totals,,racewide,Totals,9750
State House of Representatives,10,Sue Morrow,Democratic,county,Buena Vista,2403
State House of Representatives,10,Russell Eddie,Republican,county,Buena Vista,4289
State House of Representatives,10,"Gary L. Meier, Jr.",Reform Party,county,Buena Vista,244
State House of Representatives,10,Scattering,,county,Buena Vista,1
State House of Representatives,10,Totals,,county,Buena Vista,6937
State House of Representatives,10,Sue Morrow,Democratic,county,Clay,73
State House of Representatives,10,Russell Eddie,Republican,county,Clay,162
