office,district,candidate,party,reporting_level,jurisdiction,votes
Attorney General,,Tom Miller,Democratic,county,ADAIR,135
Attorney General,,Write-In Votes,Democratic,county,ADAIR,0
Attorney General,,Totals,Democratic,county,ADAIR,135
Attorney General,,Tom Miller,Democratic,county,ADAMS,197
Attorney General,,Write-In Votes,Democratic,county,ADAMS,0
Attorney General,,Totals,Democratic,county,ADAMS,197
Attorney General,,Tom Miller,Democratic,county,ALLAMAKEE,169
Attorney General,,Write-In Votes,Democratic,county,ALLAMAKEE,0
Attorney General,,Totals,Democratic,county,ALLAMAKEE,169
Attorney General,,Tom Miller,Democratic,county,APPANOOSE,353
Attorney General,,Write-In Votes,Democratic,county,APPANOOSE,0
Attorney General,,Totals,Democratic,county,APPANOOSE,353
Attorney General,,Tom Miller,Democratic,county,AUDUBON,133
Attorney General,,Write-In Votes,Democratic,county,AUDUBON,0
Attorney General,,Totals,Democratic,county,AUDUBON,133
Attorney General,,Tom Miller,Democratic,county,BENTON,569
Attorney General,,Write-In Votes,Democratic,county,BENTON,1
Attorney General,,Totals,Democratic,county,BENTON,570
Attorney General,,Tom Miller,Democratic,county,BLACK HAWK,4503
Attorney General,,Write-In Votes,Democratic,county,BLACK HAWK,15
Attorney General,,Totals,Democratic,county,BLACK HAWK,4518
Attorney General,,Tom Miller,Democratic,county,BOONE,863
Attorney General,,Write-In Votes,Democratic,county,BOONE,0
Attorney General,,Totals,Democratic,county,BOONE,863
Attorney General,,Tom Miller,Democratic,county,BREMER,432
Attorney General,,Write-In Votes,Democratic,county,BREMER,0
Attorney General,,Totals,Democratic,county,BREMER,432
Attorney General,,Tom Miller,Democratic,county,BUCHANAN,893
Attorney General,,Write-In Votes,Democratic,county,BUCHANAN,0
Attorney General,,Totals,Democratic,county,BUCHANAN,893
Attorney General,,Tom Miller,Democratic,county,BUENA VISTA,250
Attorney General,,Write-In Votes,Democratic,county,BUENA VISTA,1
Attorney General,,Totals,Democratic,county,BUENA VISTA,251
Attorney General,,Tom Miller,Democratic,county,BUTLER,217
Attorney General,,Write-In Votes,Democratic,county,BUTLER,0
Attorney General,,Totals,Democratic,county,BUTLER,217
Attorney General,,Tom Miller,Democratic,county,CALHOUN,241
Attorney General,,Write-In Votes,Democratic,county,CALHOUN,0
Attorney General,,Totals,Democratic,county,CALHOUN,241
Attorney General,,Tom Miller,Democratic,county,CARROLL,331
Attorney General,,Write-In Votes,Democratic,county,CARROLL,0
Attorney General,,Totals,Democratic,county,CARROLL,331
Attorney General,,Tom Miller,Democratic,county,CASS,290
Attorney General,,Write-In Votes,Democratic,county,CASS,0
Attorney General,,Totals,Democratic,county,CASS,290
Attorney General,,Tom Miller,Democratic,county,CEDAR,191
Attorney General,,Write-In Votes,Democratic,county,CEDAR,0
Attorney General,,Totals,Democratic,county,CEDAR,191
Attorney General,,Tom Miller,Democratic,county,CERRO GORDO,1335
Attorney General,,Write-In Votes,Democratic,county,CERRO GORDO,1
Attorney General,,Totals,Democratic,county,CERRO GORDO,1336
Attorney General,,Tom Miller,Democratic,county,CHEROKEE,218
Attorney General,,Write-In Votes,Democratic,county,CHEROKEE,0
Attorney General,,Totals,Democratic,county,CHEROKEE,218
Attorney General,,Tom Miller,Democratic,county,CHICKASAW,343
Attorney General,,Write-In Votes,Democratic,county,CHICKASAW,1
Attorney General,,Totals,Democratic,county,CHICKASAW,344
Attorney General,,Tom Miller,Democratic,county,CLARKE,536
Attorney General,,Write-In Votes,Democratic,county,CLARKE,0
Attorney General,,Totals,Democratic,county,CLARKE,536
Attorney General,,Tom Miller,Democratic,county,CLAY,181
Attorney General,,Write-In Votes,Democratic,county,CLAY,0
Attorney General,,Totals,Democratic,county,CLAY,181
Attorney General,,Tom Miller,Democratic,county,CLAYTON,563
Attorney General,,Write-In Votes,Democratic,county,CLAYTON,9
Attorney General,,Totals,Democratic,county,CLAYTON,572
Attorney General,,Tom Miller,Democratic,county,CLINTON,997
Attorney General,,Write-In Votes,Democratic,county,CLINTON,1
