office,district,candidate,party,reporting_level,jurisdiction,votes,vacancy
United States Representative,1,BRUCE BRALEY,Democrat,county,Black Hawk,25655,False
United States Representative,1,MIKE WHALEN,Republican,county,Black Hawk,17560,False
United States Representative,1,JAMES F. HILL,Pirate,county,Black Hawk,381,False
United States Representative,1,ALBERT W. SCHOEMAN,Nominated By Petition,county,Black Hawk,182,False
United States Representative,1,OVER VOTES,,county,Black Hawk,11,False
United States Representative,1,UNDER VOTES,,county,Black Hawk,0,False
United States Representative,1,SCATTERING,,county,Black Hawk,33,False
United States Representative,1,TOTAL,,county,Black Hawk,43822,False
United States Representative,1,BRUCE BRALEY,Democrat,county,Bremer,4850,False
United States Representative,1,MIKE WHALEN,Republican,county,Bremer,4436,False
United States Representative,1,JAMES F. HILL,Pirate,county,Bremer,88,False
United States Representative,1,ALBERT W. SCHOEMAN,Nominated By Petition,county,Bremer,73,False
United States Representative,1,OVER VOTES,,county,Bremer,2,False
United States Representative,1,UNDER VOTES,,county,Bremer,213,False
United States Representative,1,SCATTERING,,county,Bremer,7,False
United States Representative,1,TOTAL,,county,Bremer,9669,False
United States Representative,1,BRUCE BRALEY,Democrat,county,Buchanan,4261,False
United States Representative,1,MIKE WHALEN,Republican,county,Buchanan,3381,False
United States Representative,1,JAMES F. HILL,Pirate,county,Buchanan,96,False
United States Representative,1,ALBERT W. SCHOEMAN,Nominated By Petition,county,Buchanan,63,False
United States Representative,1,OVER VOTES,,county,Buchanan,0,False
United States Representative,1,UNDER VOTES,,county,Buchanan,275,False
United States Representative,1,SCATTERING,,county,Buchanan,4,False
United States Representative,1,TOTAL,,county,Buchanan,8080,False
United States Representative,1,BRUCE BRALEY,Democrat,county,Butler,2506,False
United States Representative,1,MIKE WHALEN,Republican,county,Butler,3000,False
United States Representative,1,JAMES F. HILL,Pirate,county,Butler,53,False
United States Representative,1,ALBERT W. SCHOEMAN,Nominated By Petition,county,Butler,61,False
United States Representative,1,OVER VOTES,,county,Butler,4,False
United States Representative,1,UNDER VOTES,,county,Butler,149,False
United States Representative,1,SCATTERING,,county,Butler,14,False
United States Representative,1,TOTAL,,county,Butler,5787,False
United States Representative,1,BRUCE BRALEY,Democrat,county,Clayton,3414,False
United States Representative,1,MIKE WHALEN,Republican,county,Clayton,3088,False
United States Representative,1,JAMES F. HILL,Pirate,county,Clayton,104,False
United States Representative,1,ALBERT W. SCHOEMAN,Nominated By Petition,county,Clayton,67,False
United States Representative,1,OVER VOTES,,county,Clayton,0,False
United States Representative,1,UNDER VOTES,,county,Clayton,0,False
United States Representative,1,SCATTERING,,county,Clayton,0,False
United States Representative,1,TOTAL,,county,Clayton,6673,False
United States Representative,1,BRUCE BRALEY,Democrat,county,Clinton,9525,False
United States Representative,1,MIKE WHALEN,Republican,county,Clinton,6782,False
United States Representative,1,JAMES F. HILL,Pirate,county,Clinton,184,False
United States Representative,1,ALBERT W. SCHOEMAN,Nominated By Petition,county,Clinton,120,False
United States Representative,1,OVER VOTES,,county,Clinton,8,False
United States Representative,1,UNDER VOTES,,county,Clinton,332,False
United States Representative,1,SCATTERING,,county,Clinton,4,False
United States Representative,1,TOTAL,,county,Clinton,16955,False
United States Representative,1,BRUCE BRALEY,Democrat,county,Delaware,3183,False
United States Representative,1,MIKE WHALEN,Republican,county,Delaware,3550,False
United States Representative,1,JAMES F. HILL,Pirate,county,Delaware,81,False
United States Representative,1,ALBERT W. SCHOEMAN,Nominated By Petition,county,Delaware,68,False
United States Representative,1,OVER VOTES,,county,Delaware,0,False
United States Representative,1,UNDER VOTES,,county,Delaware,0,False
United States Representative,1,SCATTERING,,county,Delaware,0,False
United States Representative,1,TOTAL,,county,Delaware,6882,False
United States Representative,1,BRUCE BRALEY,Democrat,county,Dubuque,19489,False
United States Representative,1,MIKE WHALEN,Republican,county,Dubuque,13116,False
United States Representative,1,JAMES F. HILL,Pirate,county,Dubuque,274,False
United States Representative,1,ALBERT W. SCHOEMAN,Nominated By Petition,county,Dubuque,174,False
United States Representative,1,OVER VOTES,,county,Dubuque,5,False
United States Representative,1,UNDER VOTES,,county,Dubuque,980,False
United States Representative,1,SCATTERING,,county,Dubuque,27,False
United States Representative,1,TOTAL,,county,Dubuque,34065,False
United States Representative,1,BRUCE BRALEY,Democrat,county,Fayette,4097,False
United States Representative,1,MIKE WHALEN,Republican,county,Fayette,3526,False
United States Representative,1,JAMES F. HILL,Pirate,county,Fayette,97,False
United States Representative,1,ALBERT W. SCHOEMAN,Nominated By Petition,county,Fayette,50,False
United States Representative,1,OVER VOTES,,county,Fayette,0,False
United States Representative,1,UNDER VOTES,,county,Fayette,0,False
United States Representative,1,SCATTERING,,county,Fayette,4,False
United States Representative,1,TOTAL,,county,Fayette,7774,False
United States Representative,1,BRUCE BRALEY,Democrat,county,Jackson,4227,False
United States Representative,1,MIKE WHALEN,Republican,county,Jackson,2831,False
United States Representative,1,JAMES F. HILL,Pirate,county,Jackson,64,False
United States Representative,1,ALBERT W. SCHOEMAN,Nominated By Petition,county,Jackson,37,False
United States Representative,1,OVER VOTES,,county,Jackson,1,False
United States Representative,1,UNDER VOTES,,county,Jackson,0,False
United States Representative,1,SCATTERING,,county,Jackson,3,False
United States Representative,1,TOTAL,,county,Jackson,7163,False
United States Representative,1,BRUCE BRALEY,Democrat,county,Jones,3650,False
United States Representative,1,MIKE WHALEN,Republican,county,Jones,3317,False
United States Representative,1,JAMES F. HILL,Pirate,county,Jones,115,False
United States Representative,1,ALBERT W. SCHOEMAN,Nominated By Petition,county,Jones,78,False
United States Representative,1,OVER VOTES,,county,Jones,16,False
United States Representative,1,UNDER VOTES,,county,Jones,254,False
United States Representative,1,SCATTERING,,county,Jones,3,False
United States Representative,1,TOTAL,,county,Jones,7433,False
United States Representative,1,BRUCE BRALEY,Democrat,county,Scott,29465,False
United States Representative,1,MIKE WHALEN,Republican,county,Scott,25142,False
United States Representative,1,JAMES F. HILL,Pirate,county,Scott,664,False
United States Representative,1,ALBERT W. SCHOEMAN,Nominated By Petition,county,Scott,253,False
United States Representative,1,OVER VOTES,,county,Scott,19,False
United States Representative,1,UNDER VOTES,,county,Scott,895,False
United States Representative,1,SCATTERING,,county,Scott,44,False
United States Representative,1,TOTAL,,county,Scott,56482,False
United States Representative,1,BRUCE BRALEY,Democrat,county,Total,114322,False
United States Representative,1,MIKE WHALEN,Republican,county,Total,89729,False
United States Representative,1,JAMES F. HILL,Pirate,county,Total,2201,False
United States Representative,1,ALBERT W. SCHOEMAN,Nominated By Petition,county,Total,1226,False
United States Representative,1,OVER VOTES,,county,Total,66,False
United States Representative,1,UNDER VOTES,,county,Total,3098,False
United States Representative,1,SCATTERING,,county,Total,143,False
United States Representative,1,TOTAL,,county,Total,210785,False
United States Representative,2,DAVE LOEBSACK,Democrat,county,Appanoose,2000,False
United States Representative,2,JAMES A. LEACH,Republican,county,Appanoose,2338,False
United States Representative,2,OVER VOTES,,county,Appanoose,0,False
United States Representative,2,UNDER VOTES,,county,Appanoose,0,False
United States Representative,2,SCATTERING,,county,Appanoose,0,False
United States Representative,2,TOTAL,,county,Appanoose,4338,False
United States Representative,2,DAVE LOEBSACK,Democrat,county,Cedar,2868,False
United States Representative,2,JAMES A. LEACH,Republican,county,Cedar,3741,False
United States Representative,2,OVER VOTES,,county,Cedar,1,False
United States Representative,2,UNDER VOTES,,county,Cedar,0,False
United States Representative,2,SCATTERING,,county,Cedar,6,False
United States Representative,2,TOTAL,,county,Cedar,6616,False
United States Representative,2,DAVE LOEBSACK,Democrat,county,Davis,1192,False
United States Representative,2,JAMES A. LEACH,Republican,county,Davis,1506,False
United States Representative,2,OVER VOTES,,county,Davis,1,False
United States Representative,2,UNDER VOTES,,county,Davis,0,False
United States Representative,2,SCATTERING,,county,Davis,1,False
United States Representative,2,TOTAL,,county,Davis,2700,False
United States Representative,2,DAVE LOEBSACK,Democrat,county,Des Moines,7678,False
United States Representative,2,JAMES A. LEACH,Republican,county,Des Moines,5888,False
United States Representative,2,OVER VOTES,,county,Des Moines,7,False
United States Representative,2,UNDER VOTES,,county,Des Moines,0,False
United States Representative,2,SCATTERING,,county,Des Moines,12,False
United States Representative,2,TOTAL,,county,Des Moines,13585,False
United States Representative,2,DAVE LOEBSACK,Democrat,county,Henry,2719,False
United States Representative,2,JAMES A. LEACH,Republican,county,Henry,3599,False
United States Representative,2,OVER VOTES,,county,Henry,0,False
United States Representative,2,UNDER VOTES,,county,Henry,241,False
United States Representative,2,SCATTERING,,county,Henry,5,False
United States Representative,2,TOTAL,,county,Henry,6564,False
United States Representative,2,DAVE LOEBSACK,Democrat,county,Jefferson,2644,False
United States Representative,2,JAMES A. LEACH,Republican,county,Jefferson,3165,False
United States Representative,2,OVER VOTES,,county,Jefferson,1,False
United States Representative,2,UNDER VOTES,,county,Jefferson,332,False
United States Representative,2,SCATTERING,,county,Jefferson,2,False
United States Representative,2,TOTAL,,county,Jefferson,6144,False
United States Representative,2,DAVE LOEBSACK,Democrat,county,Johnson,25898,False
United States Representative,2,JAMES A. LEACH,Republican,county,Johnson,17373,False
United States Representative,2,OVER VOTES,,county,Johnson,5,False
United States Representative,2,UNDER VOTES,,county,Johnson,962,False
United States Representative,2,SCATTERING,,county,Johnson,54,False
United States Representative,2,TOTAL,,county,Johnson,44292,False
United States Representative,2,DAVE LOEBSACK,Democrat,county,Lee,6601,False
United States Representative,2,JAMES A. LEACH,Republican,county,Lee,4911,False
United States Representative,2,OVER VOTES,,county,Lee,6,False
United States Representative,2,UNDER VOTES,,county,Lee,505,False
United States Representative,2,SCATTERING,,county,Lee,15,False
United States Representative,2,TOTAL,,county,Lee,12038,False
United States Representative,2,DAVE LOEBSACK,Democrat,county,Linn,38672,False
United States Representative,2,JAMES A. LEACH,Republican,county,Linn,38305,False
United States Representative,2,OVER VOTES,,county,Linn,0,False
United States Representative,2,UNDER VOTES,,county,Linn,0,False
United States Representative,2,SCATTERING,,county,Linn,61,False
United States Representative,2,TOTAL,,county,Linn,77038,False
United States Representative,2,DAVE LOEBSACK,Democrat,county,Louisa,1327,False
United States Representative,2,JAMES A. LEACH,Republican,county,Louisa,2026,False
United States Representative,2,OVER VOTES,,county,Louisa,0,False
United States Representative,2,UNDER VOTES,,county,Louisa,0,False
United States Representative,2,SCATTERING,,county,Louisa,3,False
United States Representative,2,TOTAL,,county,Louisa,3356,False
United States Representative,2,DAVE LOEBSACK,Democrat,county,Muscatine,5306,False
United States Representative,2,JAMES A. LEACH,Republican,county,Muscatine,6790,False
United States Representative,2,OVER VOTES,,county,Muscatine,2,False
United States Representative,2,UNDER VOTES,,county,Muscatine,327,False
United States Representative,2,SCATTERING,,county,Muscatine,13,False
United States Representative,2,TOTAL,,county,Muscatine,12438,False
United States Representative,2,DAVE LOEBSACK,Democrat,county,Van Buren,956,False
United States Representative,2,JAMES A. LEACH,Republican,county,Van Buren,1668,False
United States Representative,2,OVER VOTES,,county,Van Buren,1,False
United States Representative,2,UNDER VOTES,,county,Van Buren,110,False
United States Representative,2,SCATTERING,,county,Van Buren,7,False
United States Representative,2,TOTAL,,county,Van Buren,2742,False
United States Representative,2,DAVE LOEBSACK,Democrat,county,Wapello,6137,False
United States Representative,2,JAMES A. LEACH,Republican,county,Wapello,4784,False
United States Representative,2,OVER VOTES,,county,Wapello,0,False
United States Representative,2,UNDER VOTES,,county,Wapello,0,False
United States Representative,2,SCATTERING,,county,Wapello,15,False
United States Representative,2,TOTAL,,county,Wapello,10936,False
United States Representative,2,DAVE LOEBSACK,Democrat,county,Washington,2933,False
United States Representative,2,JAMES A. LEACH,Republican,county,Washington,4296,False
United States Representative,2,OVER VOTES,,county,Washington,0,False
United States Representative,2,UNDER VOTES,,county,Washington,0,False
United States Representative,2,SCATTERING,,county,Washington,2,False
United States Representative,2,TOTAL,,county,Washington,7231,False
United States Representative,2,DAVE LOEBSACK,Democrat,county,Wayne,752,False
United States Representative,2,JAMES A. LEACH,Republican,county,Wayne,1317,False
United States Representative,2,OVER VOTES,,county,Wayne,0,False
United States Representative,2,UNDER VOTES,,county,Wayne,0,False
United States Representative,2,SCATTERING,,county,Wayne,0,False
United States Representative,2,TOTAL,,county,Wayne,2069,False
United States Representative,2,DAVE LOEBSACK,Democrat,county,Total,107683,False
United States Representative,2,JAMES A. LEACH,Republican,county,Total,101707,False
United States Representative,2,OVER VOTES,,county,Total,24,False
United States Representative,2,UNDER VOTES,,county,Total,2477,False
United States Representative,2,SCATTERING,,county,Total,196,False
United States Representative,2,TOTAL,,county,Total,212087,False
United States Representative,3,LEONARD L. BOSWELL,Democrat,county,Benton,4632,False
United States Representative,3,JEFF LAMBERTI,Republican,county,Benton,4588,False
United States Representative,3,HELEN MEYERS,Socialist Workers,county,Benton,246,False
United States Representative,3,OVER VOTES,,county,Benton,0,False
United States Representative,3,UNDER VOTES,,county,Benton,276,False
United States Representative,3,SCATTERING,,county,Benton,3,False
United States Representative,3,TOTAL,,county,Benton,9745,False
United States Representative,3,LEONARD L. BOSWELL,Democrat,county,Grundy,1760,False
United States Representative,3,JEFF LAMBERTI,Republican,county,Grundy,2980,False
United States Representative,3,HELEN MEYERS,Socialist Workers,county,Grundy,86,False
United States Representative,3,OVER VOTES,,county,Grundy,0,False
United States Representative,3,UNDER VOTES,,county,Grundy,138,False
United States Representative,3,SCATTERING,,county,Grundy,1,False
United States Representative,3,TOTAL,,county,Grundy,4965,False
United States Representative,3,LEONARD L. BOSWELL,Democrat,county,Iowa,2745,False
United States Representative,3,JEFF LAMBERTI,Republican,county,Iowa,3128,False
United States Representative,3,HELEN MEYERS,Socialist Workers,county,Iowa,198,False
United States Representative,3,OVER VOTES,,county,Iowa,1,False
United States Representative,3,UNDER VOTES,,county,Iowa,274,False
United States Representative,3,SCATTERING,,county,Iowa,4,False
United States Representative,3,TOTAL,,county,Iowa,6350,False
United States Representative,3,LEONARD L. BOSWELL,Democrat,county,Jasper,7921,False
United States Representative,3,JEFF LAMBERTI,Republican,county,Jasper,6425,False
United States Representative,3,HELEN MEYERS,Socialist Workers,county,Jasper,257,False
