office,district,candidate,party,reporting_level,jurisdiction,votes
Treasurer of State,,Michael L. Fitzgerald,Democratic,county,ADAIR,124
Treasurer of State,,Write-In Votes,Democratic,county,ADAIR,0
Treasurer of State,,Totals,Democratic,county,ADAIR,124
Treasurer of State,,Michael L. Fitzgerald,Democratic,county,ADAMS,181
Treasurer of State,,Write-In Votes,Democratic,county,ADAMS,0
Treasurer of State,,Totals,Democratic,county,ADAMS,181
Treasurer of State,,Michael L. Fitzgerald,Democratic,county,ALLAMAKEE,163
Treasurer of State,,Write-In Votes,Democratic,county,ALLAMAKEE,0
Treasurer of State,,Totals,Democratic,county,ALLAMAKEE,163
Treasurer of State,,Michael L. Fitzgerald,Democratic,county,APPANOOSE,322
Treasurer of State,,Write-In Votes,Democratic,county,APPANOOSE,0
Treasurer of State,,Totals,Democratic,county,APPANOOSE,322
Treasurer of State,,Michael L. Fitzgerald,Democratic,county,AUDUBON,133
Treasurer of State,,Write-In Votes,Democratic,county,AUDUBON,0
Treasurer of State,,Totals,Democratic,county,AUDUBON,133
Treasurer of State,,Michael L. Fitzgerald,Democratic,county,BENTON,528
Treasurer of State,,Write-In Votes,Democratic,county,BENTON,2
Treasurer of State,,Totals,Democratic,county,BENTON,530
Treasurer of State,,Michael L. Fitzgerald,Democratic,county,BLACK HAWK,4317
Treasurer of State,,Write-In Votes,Democratic,county,BLACK HAWK,12
Treasurer of State,,Totals,Democratic,county,BLACK HAWK,4329
Treasurer of State,,Michael L. Fitzgerald,Democratic,county,BOONE,829
Treasurer of State,,Write-In Votes,Democratic,county,BOONE,3
Treasurer of State,,Totals,Democratic,county,BOONE,832
Treasurer of State,,Michael L. Fitzgerald,Democratic,county,BREMER,410
Treasurer of State,,Write-In Votes,Democratic,county,BREMER,0
Treasurer of State,,Totals,Democratic,county,BREMER,410
Treasurer of State,,Michael L. Fitzgerald,Democratic,county,BUCHANAN,854
Treasurer of State,,Write-In Votes,Democratic,county,BUCHANAN,0
Treasurer of State,,Totals,Democratic,county,BUCHANAN,854
Treasurer of State,,Michael L. Fitzgerald,Democratic,county,BUENA VISTA,235
Treasurer of State,,Write-In Votes,Democratic,county,BUENA VISTA,1
Treasurer of State,,Totals,Democratic,county,BUENA VISTA,236
Treasurer of State,,Michael L. Fitzgerald,Democratic,county,BUTLER,205
Treasurer of State,,Write-In Votes,Democratic,county,BUTLER,0
Treasurer of State,,Totals,Democratic,county,BUTLER,205
Treasurer of State,,Michael L. Fitzgerald,Democratic,county,CALHOUN,220
Treasurer of State,,Write-In Votes,Democratic,county,CALHOUN,1
Treasurer of State,,Totals,Democratic,county,CALHOUN,221
Treasurer of State,,Michael L. Fitzgerald,Democratic,county,CARROLL,310
Treasurer of State,,Write-In Votes,Democratic,county,CARROLL,0
Treasurer of State,,Totals,Democratic,county,CARROLL,310
Treasurer of State,,Michael L. Fitzgerald,Democratic,county,CASS,277
Treasurer of State,,Write-In Votes,Democratic,county,CASS,1
Treasurer of State,,Totals,Democratic,county,CASS,278
Treasurer of State,,Michael L. Fitzgerald,Democratic,county,CEDAR,189
Treasurer of State,,Write-In Votes,Democratic,county,CEDAR,0
Treasurer of State,,Totals,Democratic,county,CEDAR,189
Treasurer of State,,Michael L. Fitzgerald,Democratic,county,CERRO GORDO,1282
Treasurer of State,,Write-In Votes,Democratic,county,CERRO GORDO,4
Treasurer of State,,Totals,Democratic,county,CERRO GORDO,1286
Treasurer of State,,Michael L. Fitzgerald,Democratic,county,CHEROKEE,198
Treasurer of State,,Write-In Votes,Democratic,county,CHEROKEE,0
Treasurer of State,,Totals,Democratic,county,CHEROKEE,198
Treasurer of State,,Michael L. Fitzgerald,Democratic,county,CHICKASAW,329
Treasurer of State,,Write-In Votes,Democratic,county,CHICKASAW,2
Treasurer of State,,Totals,Democratic,county,CHICKASAW,331
Treasurer of State,,Michael L. Fitzgerald,Democratic,county,CLARKE,505
Treasurer of State,,Write-In Votes,Democratic,county,CLARKE,0
Treasurer of State,,Totals,Democratic,county,CLARKE,505
Treasurer of State,,Michael L. Fitzgerald,Democratic,county,CLAY,178
Treasurer of State,,Write-In Votes,Democratic,county,CLAY,0
Treasurer of State,,Totals,Democratic,county,CLAY,178
Treasurer of State,,Michael L. Fitzgerald,Democratic,county,CLAYTON,519
Treasurer of State,,Write-In Votes,Democratic,county,CLAYTON,0
Treasurer of State,,Totals,Democratic,county,CLAYTON,519
Treasurer of State,,Michael L. Fitzgerald,Democratic,county,CLINTON,1011
Treasurer of State,,Write-In Votes,Democratic,county,CLINTON,0
Treasurer of State,,Totals,Democratic,county,CLINTON,1011
Treasurer of State,,Michael L. Fitzgerald,Democratic,county,CRAWFORD,275
Treasurer of State,,Write-In Votes,Democratic,county,CRAWFORD,0
Treasurer of State,,Totals,Democratic,county,CRAWFORD,275
Treasurer of State,,Michael L. Fitzgerald,Democratic,county,DALLAS,687
Treasurer of State,,Write-In Votes,Democratic,county,DALLAS,0
Treasurer of State,,Totals,Democratic,county,DALLAS,687
Treasurer of State,,Michael L. Fitzgerald,Democratic,county,DAVIS,921
Treasurer of State,,Write-In Votes,Democratic,county,DAVIS,1
Treasurer of State,,Totals,Democratic,county,DAVIS,922
Treasurer of State,,Michael L. Fitzgerald,Democratic,county,DECATUR,225
Treasurer of State,,Write-In Votes,Democratic,county,DECATUR,0
Treasurer of State,,Totals,Democratic,county,DECATUR,225
Treasurer of State,,Michael L. Fitzgerald,Democratic,county,DELAWARE,239
Treasurer of State,,Write-In Votes,Democratic,county,DELAWARE,0
Treasurer of State,,Totals,Democratic,county,DELAWARE,239
Treasurer of State,,Michael L. Fitzgerald,Democratic,county,DES MOINES,1599
Treasurer of State,,Write-In Votes,Democratic,county,DES MOINES,3
Treasurer of State,,Totals,Democratic,county,DES MOINES,1602
Treasurer of State,,Michael L. Fitzgerald,Democratic,county,DICKINSON,738
Treasurer of State,,Write-In Votes,Democratic,county,DICKINSON,2
Treasurer of State,,Totals,Democratic,county,DICKINSON,740
Treasurer of State,,Michael L. Fitzgerald,Democratic,county,DUBUQUE,3773
Treasurer of State,,Write-In Votes,Democratic,county,DUBUQUE,4
