office,candidate,party,county,votes
President/Vice President,Kenoyer / Ehrenreich,Iowa Socialist,ADAIR,0
President/Vice President,Duke / Parker,Patriotic Party,ADAIR,0
President/Vice President,Bush / Quayle,Republican,ADAIR,1833
President/Vice President,Winn / Porster,Workers League,ADAIR,0
President/Vice President,La Rouche / Freeman,Nominated by Petition,ADAIR,7
President/Vice President,Fulani / Dattner,New Alliance,ADAIR,1
President/Vice President,Warren / Mickells,Socialist Workers,ADAIR,0
President/Vice President,Paul / Marrou,Libertarian,ADAIR,5
President/Vice President,Dukakis / Bentson,Democratic,ADAIR,2261
President/Vice President,Scattering,,ADAIR,16
President/Vice President,Kenoyer / Ehrenreich,Iowa Socialist,ADAMS,0
President/Vice President,Duke / Parker,Patriotic Party,ADAMS,2
President/Vice President,Bush / Quayle,Republican,ADAMS,1080
President/Vice President,Winn / Porster,Workers League,ADAMS,0
President/Vice President,La Rouche / Freeman,Nominated by Petition,ADAMS,4
President/Vice President,Fulani / Dattner,New Alliance,ADAMS,1
President/Vice President,Warren / Mickells,Socialist Workers,ADAMS,1
President/Vice President,Paul / Marrou,Libertarian,ADAMS,5
President/Vice President,Dukakis / Bentson,Democratic,ADAMS,1283
President/Vice President,Scattering,,ADAMS,4
President/Vice President,Kenoyer / Ehrenreich,Iowa Socialist,ALLAMAKEE,5
President/Vice President,Duke / Parker,Patriotic Party,ALLAMAKEE,10
President/Vice President,Bush / Quayle,Republican,ALLAMAKEE,3186
President/Vice President,Winn / Porster,Workers League,ALLAMAKEE,0
President/Vice President,La Rouche / Freeman,Nominated by Petition,ALLAMAKEE,12
President/Vice President,Fulani / Dattner,New Alliance,ALLAMAKEE,1
President/Vice President,Warren / Mickells,Socialist Workers,ALLAMAKEE,0
President/Vice President,Paul / Marrou,Libertarian,ALLAMAKEE,11
President/Vice President,Dukakis / Bentson,Democratic,ALLAMAKEE,2768
President/Vice President,Scattering,,ALLAMAKEE,2
President/Vice President,Kenoyer / Ehrenreich,Iowa Socialist,APPANOOSE,7
President/Vice President,Duke / Parker,Patriotic Party,APPANOOSE,8
President/Vice President,Bush / Quayle,Republican,APPANOOSE,2779
President/Vice President,Winn / Porster,Workers League,APPANOOSE,1
President/Vice President,La Rouche / Freeman,Nominated by Petition,APPANOOSE,62
President/Vice President,Fulani / Dattner,New Alliance,APPANOOSE,3
President/Vice President,Warren / Mickells,Socialist Workers,APPANOOSE,1
President/Vice President,Paul / Marrou,Libertarian,APPANOOSE,15
President/Vice President,Dukakis / Bentson,Democratic,APPANOOSE,3209
President/Vice President,Scattering,,APPANOOSE,3
President/Vice President,Kenoyer / Ehrenreich,Iowa Socialist,AUDUBON,1
President/Vice President,Duke / Parker,Patriotic Party,AUDUBON,0
President/Vice President,Bush / Quayle,Republican,AUDUBON,1478
President/Vice President,Winn / Porster,Workers League,AUDUBON,1
President/Vice President,La Rouche / Freeman,Nominated by Petition,AUDUBON,16
President/Vice President,Fulani / Dattner,New Alliance,AUDUBON,1
President/Vice President,Warren / Mickells,Socialist Workers,AUDUBON,1
President/Vice President,Paul / Marrou,Libertarian,AUDUBON,4
President/Vice President,Dukakis / Bentson,Democratic,AUDUBON,1863
President/Vice President,Scattering,,AUDUBON,6
President/Vice President,Kenoyer / Ehrenreich,Iowa Socialist,BENTON,5
President/Vice President,Duke / Parker,Patriotic Party,BENTON,4
President/Vice President,Bush / Quayle,Republican,BENTON,4011
President/Vice President,Winn / Porster,Workers League,BENTON,2
President/Vice President,La Rouche / Freeman,Nominated by Petition,BENTON,44
President/Vice President,Fulani / Dattner,New Alliance,BENTON,8
President/Vice President,Warren / Mickells,Socialist Workers,BENTON,1
President/Vice President,Paul / Marrou,Libertarian,BENTON,15
President/Vice President,Dukakis / Bentson,Democratic,BENTON,5873
President/Vice President,Scattering,,BENTON,14
President/Vice President,Kenoyer / Ehrenreich,Iowa Socialist,BLACK HAWK,16
President/Vice President,Duke / Parker,Patriotic Party,BLACK HAWK,51
President/Vice President,Bush / Quayle,Republican,BLACK HAWK,24112
President/Vice President,Winn / Porster,Workers League,BLACK HAWK,17
President/Vice President,La Rouche / Freeman,Nominated by Petition,BLACK HAWK,143
President/Vice President,Fulani / Dattner,New Alliance,BLACK HAWK,41
President/Vice President,Warren / Mickells,Socialist Workers,BLACK HAWK,12
President/Vice President,Paul / Marrou,Libertarian,BLACK HAWK,82
President/Vice President,Dukakis / Bentson,Democratic,BLACK HAWK,31657
President/Vice President,Scattering,,BLACK HAWK,40
President/Vice President,Kenoyer / Ehrenreich,Iowa Socialist,BOONE,2
President/Vice President,Duke / Parker,Patriotic Party,BOONE,7
President/Vice President,Bush / Quayle,Republican,BOONE,4381
President/Vice President,Winn / Porster,Workers League,BOONE,1
President/Vice President,La Rouche / Freeman,Nominated by Petition,BOONE,44
President/Vice President,Fulani / Dattner,New Alliance,BOONE,0
President/Vice President,Warren / Mickells,Socialist Workers,BOONE,2
President/Vice President,Paul / Marrou,Libertarian,BOONE,11
President/Vice President,Dukakis / Bentson,Democratic,BOONE,7232
President/Vice President,Scattering,,BOONE,6
President/Vice President,Kenoyer / Ehrenreich,Iowa Socialist,BREMER,1
President/Vice President,Duke / Parker,Patriotic Party,BREMER,4
President/Vice President,Bush / Quayle,Republican,BREMER,5079
President/Vice President,Winn / Porster,Workers League,BREMER,2
President/Vice President,La Rouche / Freeman,Nominated by Petition,BREMER,24
President/Vice President,Fulani / Dattner,New Alliance,BREMER,3
President/Vice President,Warren / Mickells,Socialist Workers,BREMER,1
President/Vice President,Paul / Marrou,Libertarian,BREMER,18
President/Vice President,Dukakis / Bentson,Democratic,BREMER,4961
President/Vice President,Scattering,,BREMER,6
President/Vice President,Kenoyer / Ehrenreich,Iowa Socialist,BUCHANAN,1
President/Vice President,Duke / Parker,Patriotic Party,BUCHANAN,7
President/Vice President,Bush / Quayle,Republican,BUCHANAN,3495
President/Vice President,Winn / Porster,Workers League,BUCHANAN,2
President/Vice President,La Rouche / Freeman,Nominated by Petition,BUCHANAN,6
President/Vice President,Fulani / Dattner,New Alliance,BUCHANAN,2
President/Vice President,Warren / Mickells,Socialist Workers,BUCHANAN,1
President/Vice President,Paul / Marrou,Libertarian,BUCHANAN,15
President/Vice President,Dukakis / Bentson,Democratic,BUCHANAN,4778
President/Vice President,Scattering,,BUCHANAN,14
President/Vice President,Kenoyer / Ehrenreich,Iowa Socialist,BUENA VISTA,1
President/Vice President,Duke / Parker,Patriotic Party,BUENA VISTA,10
President/Vice President,Bush / Quayle,Republican,BUENA VISTA,4170
President/Vice President,Winn / Porster,Workers League,BUENA VISTA,3
President/Vice President,La Rouche / Freeman,Nominated by Petition,BUENA VISTA,16
President/Vice President,Fulani / Dattner,New Alliance,BUENA VISTA,1
President/Vice President,Warren / Mickells,Socialist Workers,BUENA VISTA,2
President/Vice President,Paul / Marrou,Libertarian,BUENA VISTA,35
