county,precinct,office,district,party,candidate,votes,av_counting_board,election_day
Bremer,City of Denver-Jefferson Twp,U.S. House,1,REP,Rod Blum,54,0,54
Bremer,City of Frederika-Frederika Twp-LeRoy Twp,U.S. House,1,REP,Rod Blum,14,0,14
Bremer,City of Janesville-Jackson Twp,U.S. House,1,REP,Rod Blum,28,0,28
Bremer,Lafayette Twp-Warren Twp,U.S. House,1,REP,Rod Blum,16,0,16
Bremer,City of Plainfield-Polk Twp-Douglas Twp,U.S. House,1,REP,Rod Blum,27,0,27
Bremer,City of Readlyn-Maxfield Twp-Franklin Twp,U.S. House,1,REP,Rod Blum,41,0,41
Bremer,City of Sumner-Sumner Twp-Dayton Twp,U.S. House,1,REP,Rod Blum,74,0,74
Bremer,City of Tripoli-Fremont Twp,U.S. House,1,REP,Rod Blum,34,0,34
Bremer,Waverly Ward I-East Washington Twp,U.S. House,1,REP,Rod Blum,54,0,54
Bremer,Waverly Ward II-NE 1/4 Sec 36 Washington Twp,U.S. House,1,REP,Rod Blum,42,0,42
Bremer,Waverly Ward III,U.S. House,1,REP,Rod Blum,14,0,14
Bremer,Waverly Ward IV,U.S. House,1,REP,Rod Blum,36,0,36
Bremer,Waverly Ward V-West Washington Twp,U.S. House,1,REP,Rod Blum,73,0,73
Bremer,City of Denver-Jefferson Twp,U.S. House,1,,Write-in,0,0,0
Bremer,City of Frederika-Frederika Twp-LeRoy Twp,U.S. House,1,,Write-in,0,0,0
Bremer,City of Janesville-Jackson Twp,U.S. House,1,,Write-in,0,0,0
Bremer,Lafayette Twp-Warren Twp,U.S. House,1,,Write-in,0,0,0
Bremer,City of Plainfield-Polk Twp-Douglas Twp,U.S. House,1,,Write-in,0,0,0
Bremer,City of Readlyn-Maxfield Twp-Franklin Twp,U.S. House,1,,Write-in,0,0,0
Bremer,City of Sumner-Sumner Twp-Dayton Twp,U.S. House,1,,Write-in,0,0,0
Bremer,City of Tripoli-Fremont Twp,U.S. House,1,,Write-in,0,0,0
Bremer,Waverly Ward I-East Washington Twp,U.S. House,1,,Write-in,0,0,0
Bremer,Waverly Ward II-NE 1/4 Sec 36 Washington Twp,U.S. House,1,,Write-in,0,0,0
Bremer,Waverly Ward III,U.S. House,1,,Write-in,0,0,0
Bremer,Waverly Ward IV,U.S. House,1,,Write-in,0,0,0
Bremer,Waverly Ward V-West Washington Twp,U.S. House,1,,Write-in,0,0,0
Bremer,City of Denver-Jefferson Twp,U.S. House,1,DEM,Abby Finkenauer,70,0,70
Bremer,City of Frederika-Frederika Twp-LeRoy Twp,U.S. House,1,DEM,Abby Finkenauer,14,0,14
Bremer,City of Janesville-Jackson Twp,U.S. House,1,DEM,Abby Finkenauer,34,0,34
Bremer,Lafayette Twp-Warren Twp,U.S. House,1,DEM,Abby Finkenauer,25,0,25
Bremer,City of Plainfield-Polk Twp-Douglas Twp,U.S. House,1,DEM,Abby Finkenauer,15,0,15
