county,precinct,office,district,party,candidate,votes,election_day_total_votes
Lucas,Chariton City Hall,U.S. House,2,REP,Christopher Peters,71,71
Lucas,Chariton Community Center,U.S. House,2,REP,Christopher Peters,75,75
Lucas,L.C. Extension Office,U.S. House,2,REP,Christopher Peters,30,30
Lucas,Lucas,U.S. House,2,REP,Christopher Peters,32,32
Lucas,Pin Oak Marsh,U.S. House,2,REP,Christopher Peters,45,45
Lucas,Russell,U.S. House,2,REP,Christopher Peters,55,55
Lucas,Williamson,U.S. House,2,REP,Christopher Peters,35,35
Lucas,Chariton City Hall,U.S. House,2,,Write-in,0,0
Lucas,Chariton Community Center,U.S. House,2,,Write-in,0,0
Lucas,L.C. Extension Office,U.S. House,2,,Write-in,0,0
Lucas,Lucas,U.S. House,2,,Write-in,0,0
Lucas,Pin Oak Marsh,U.S. House,2,,Write-in,0,0
Lucas,Russell,U.S. House,2,,Write-in,0,0
Lucas,Williamson,U.S. House,2,,Write-in,1,1
Lucas,Chariton City Hall,U.S. House,2,DEM,Dave Loebsack,71,71
Lucas,Chariton Community Center,U.S. House,2,DEM,Dave Loebsack,65,65
Lucas,L.C. Extension Office,U.S. House,2,DEM,Dave Loebsack,28,28
Lucas,Lucas,U.S. House,2,DEM,Dave Loebsack,30,30
Lucas,Pin Oak Marsh,U.S. House,2,DEM,Dave Loebsack,29,29
Lucas,Russell,U.S. House,2,DEM,Dave Loebsack,29,29
Lucas,Williamson,U.S. House,2,DEM,Dave Loebsack,30,30
Lucas,Chariton City Hall,Governor,,REP,Kim Reynolds,77,77
Lucas,Chariton Community Center,Governor,,REP,Kim Reynolds,84,84
Lucas,L.C. Extension Office,Governor,,REP,Kim Reynolds,37,37
Lucas,Lucas,Governor,,REP,Kim Reynolds,33,33
Lucas,Pin Oak Marsh,Governor,,REP,Kim Reynolds,49,49
Lucas,Russell,Governor,,REP,Kim Reynolds,57,57
Lucas,Williamson,Governor,,REP,Kim Reynolds,45,45
Lucas,Chariton City Hall,Governor,,,Write-in,0,0
Lucas,Chariton Community Center,Governor,,,Write-in,0,0
Lucas,L.C. Extension Office,Governor,,,Write-in,0,0
Lucas,Lucas,Governor,,,Write-in,0,0
Lucas,Pin Oak Marsh,Governor,,,Write-in,0,0
Lucas,Russell,Governor,,,Write-in,0,0
Lucas,Williamson,Governor,,,Write-in,1,1
Lucas,Chariton City Hall,Governor,,DEM,Nate Boulton,6,6
Lucas,Chariton Community Center,Governor,,DEM,Nate Boulton,1,1
Lucas,L.C. Extension Office,Governor,,DEM,Nate Boulton,1,1
Lucas,Lucas,Governor,,DEM,Nate Boulton,3,3
Lucas,Pin Oak Marsh,Governor,,DEM,Nate Boulton,0,0
Lucas,Russell,Governor,,DEM,Nate Boulton,2,2
Lucas,Williamson,Governor,,DEM,Nate Boulton,2,2
Lucas,Chariton City Hall,Governor,,DEM,Cathy Glasson,6,6
Lucas,Chariton Community Center,Governor,,DEM,Cathy Glasson,12,12
Lucas,L.C. Extension Office,Governor,,DEM,Cathy Glasson,5,5
Lucas,Lucas,Governor,,DEM,Cathy Glasson,6,6
Lucas,Pin Oak Marsh,Governor,,DEM,Cathy Glasson,1,1
Lucas,Russell,Governor,,DEM,Cathy Glasson,4,4
Lucas,Williamson,Governor,,DEM,Cathy Glasson,5,5
Lucas,Chariton City Hall,Governor,,DEM,Fred Hubbell,49,49
Lucas,Chariton Community Center,Governor,,DEM,Fred Hubbell,48,48
Lucas,L.C. Extension Office,Governor,,DEM,Fred Hubbell,16,16
Lucas,Lucas,Governor,,DEM,Fred Hubbell,24,24
Lucas,Pin Oak Marsh,Governor,,DEM,Fred Hubbell,25,25
Lucas,Russell,Governor,,DEM,Fred Hubbell,21,21
Lucas,Williamson,Governor,,DEM,Fred Hubbell,21,21
Lucas,Chariton City Hall,Governor,,DEM,Andrea Andy McGuire,3,3
Lucas,Chariton Community Center,Governor,,DEM,Andrea Andy McGuire,0,0
Lucas,L.C. Extension Office,Governor,,DEM,Andrea Andy McGuire,1,1
Lucas,Lucas,Governor,,DEM,Andrea Andy McGuire,3,3
Lucas,Pin Oak Marsh,Governor,,DEM,Andrea Andy McGuire,1,1
Lucas,Russell,Governor,,DEM,Andrea Andy McGuire,1,1
Lucas,Williamson,Governor,,DEM,Andrea Andy McGuire,3,3
Lucas,Chariton City Hall,Governor,,DEM,John Norris,10,10
Lucas,Chariton Community Center,Governor,,DEM,John Norris,7,7
Lucas,L.C. Extension Office,Governor,,DEM,John Norris,7,7
Lucas,Lucas,Governor,,DEM,John Norris,3,3
Lucas,Pin Oak Marsh,Governor,,DEM,John Norris,2,2
Lucas,Russell,Governor,,DEM,John Norris,2,2
Lucas,Williamson,Governor,,DEM,John Norris,2,2
Lucas,Chariton City Hall,Governor,,DEM,Ross Wilburn,1,1
Lucas,Chariton Community Center,Governor,,DEM,Ross Wilburn,0,0
Lucas,L.C. Extension Office,Governor,,DEM,Ross Wilburn,0,0
Lucas,Lucas,Governor,,DEM,Ross Wilburn,0,0
Lucas,Pin Oak Marsh,Governor,,DEM,Ross Wilburn,1,1
Lucas,Russell,Governor,,DEM,Ross Wilburn,1,1
Lucas,Williamson,Governor,,DEM,Ross Wilburn,0,0
Lucas,Chariton City Hall,Governor,,LIB,Marco Battaglia,0,0
Lucas,Chariton Community Center,Governor,,LIB,Marco Battaglia,0,0
Lucas,L.C. Extension Office,Governor,,LIB,Marco Battaglia,0,0
Lucas,Lucas,Governor,,LIB,Marco Battaglia,0,0
Lucas,Pin Oak Marsh,Governor,,LIB,Marco Battaglia,0,0
Lucas,Russell,Governor,,LIB,Marco Battaglia,0,0
Lucas,Williamson,Governor,,LIB,Marco Battaglia,0,0
Lucas,Chariton City Hall,Governor,,LIB,Jake Porter,0,0
Lucas,Chariton Community Center,Governor,,LIB,Jake Porter,0,0
Lucas,L.C. Extension Office,Governor,,LIB,Jake Porter,0,0
Lucas,Lucas,Governor,,LIB,Jake Porter,0,0
Lucas,Pin Oak Marsh,Governor,,LIB,Jake Porter,0,0
Lucas,Russell,Governor,,LIB,Jake Porter,0,0
Lucas,Williamson,Governor,,LIB,Jake Porter,0,0
Lucas,Chariton City Hall,Secretary of State,,REP,Paul D. Pate,77,77
Lucas,Chariton Community Center,Secretary of State,,REP,Paul D. Pate,78,78
Lucas,L.C. Extension Office,Secretary of State,,REP,Paul D. Pate,31,31
Lucas,Lucas,Secretary of State,,REP,Paul D. Pate,32,32
Lucas,Pin Oak Marsh,Secretary of State,,REP,Paul D. Pate,48,48
Lucas,Russell,Secretary of State,,REP,Paul D. Pate,55,55
Lucas,Williamson,Secretary of State,,REP,Paul D. Pate,41,41
Lucas,Chariton City Hall,Secretary of State,,,Write-in,0,0
Lucas,Chariton Community Center,Secretary of State,,,Write-in,0,0
Lucas,L.C. Extension Office,Secretary of State,,,Write-in,0,0
Lucas,Lucas,Secretary of State,,,Write-in,0,0
Lucas,Pin Oak Marsh,Secretary of State,,,Write-in,0,0
Lucas,Russell,Secretary of State,,,Write-in,0,0
Lucas,Williamson,Secretary of State,,,Write-in,1,1
Lucas,Chariton City Hall,Secretary of State,,DEM,Deidre DeJear,20,20
Lucas,Chariton Community Center,Secretary of State,,DEM,Deidre DeJear,16,16
Lucas,L.C. Extension Office,Secretary of State,,DEM,Deidre DeJear,7,7
Lucas,Lucas,Secretary of State,,DEM,Deidre DeJear,13,13
Lucas,Pin Oak Marsh,Secretary of State,,DEM,Deidre DeJear,4,4
Lucas,Russell,Secretary of State,,DEM,Deidre DeJear,14,14
Lucas,Williamson,Secretary of State,,DEM,Deidre DeJear,13,13
Lucas,Chariton City Hall,Secretary of State,,DEM,Jim Mowrer,55,55
Lucas,Chariton Community Center,Secretary of State,,DEM,Jim Mowrer,51,51
Lucas,L.C. Extension Office,Secretary of State,,DEM,Jim Mowrer,21,21
Lucas,Lucas,Secretary of State,,DEM,Jim Mowrer,21,21
Lucas,Pin Oak Marsh,Secretary of State,,DEM,Jim Mowrer,22,22
Lucas,Russell,Secretary of State,,DEM,Jim Mowrer,16,16
Lucas,Williamson,Secretary of State,,DEM,Jim Mowrer,20,20
