county,precinct,office,district,party,candidate,votes,absentee,polling
Marion,KNOXVILLE ONE,United States Representative District 2,,REP,Christopher Peters,75,17,58
Marion,KNOXVILLE TWO,United States Representative District 2,,REP,Christopher Peters,98,20,78
Marion,KNOXVILLE THREE,United States Representative District 2,,REP,Christopher Peters,113,23,90
Marion,KNOXVILLE FOUR,United States Representative District 2,,REP,Christopher Peters,75,20,55
Marion,PELLA ONE,United States Representative District 2,,REP,Christopher Peters,139,11,128
Marion,PELLA TWO,United States Representative District 2,,REP,Christopher Peters,150,16,134
Marion,PELLA THREE,United States Representative District 2,,REP,Christopher Peters,166,12,154
Marion,PELLA FOUR,United States Representative District 2,,REP,Christopher Peters,98,11,87
Marion,LAKE PRAIRIE,United States Representative District 2,,REP,Christopher Peters,120,15,105
Marion,KNOXVILLE TOWNSHIP,United States Representative District 2,,REP,Christopher Peters,219,67,152
Marion,CLAY,United States Representative District 2,,REP,Christopher Peters,54,12,42
Marion,INDIANA,United States Representative District 2,,REP,Christopher Peters,45,8,37
Marion,DALLAS,United States Representative District 2,,REP,Christopher Peters,62,6,56
Marion,PLEASANTVILLE,United States Representative District 2,,REP,Christopher Peters,140,22,118
Marion,WASHINGTON,United States Representative District 2,,REP,Christopher Peters,40,6,34
Marion,LIBERTY,United States Representative District 2,,REP,Christopher Peters,26,5,21
Marion,OTLEY,United States Representative District 2,,REP,Christopher Peters,98,11,87
Marion,KNOXVILLE ONE,United States Representative District 2,,REP,Ginny Caligiuri,0,0,0
Marion,KNOXVILLE TWO,United States Representative District 2,,REP,Ginny Caligiuri,1,0,1
Marion,KNOXVILLE THREE,United States Representative District 2,,REP,Ginny Caligiuri,1,0,1
Marion,KNOXVILLE FOUR,United States Representative District 2,,REP,Ginny Caligiuri,0,0,0
Marion,PELLA ONE,United States Representative District 2,,REP,Ginny Caligiuri,42,3,39
Marion,PELLA TWO,United States Representative District 2,,REP,Ginny Caligiuri,41,1,40
Marion,PELLA THREE,United States Representative District 2,,REP,Ginny Caligiuri,40,8,32
Marion,PELLA FOUR,United States Representative District 2,,REP,Ginny Caligiuri,13,0,13
Marion,LAKE PRAIRIE,United States Representative District 2,,REP,Ginny Caligiuri,25,0,25
Marion,KNOXVILLE TOWNSHIP,United States Representative District 2,,REP,Ginny Caligiuri,5,0,5
Marion,CLAY,United States Representative District 2,,REP,Ginny Caligiuri,8,3,5
Marion,INDIANA,United States Representative District 2,,REP,Ginny Caligiuri,0,0,0
Marion,DALLAS,United States Representative District 2,,REP,Ginny Caligiuri,0,0,0
Marion,PLEASANTVILLE,United States Representative District 2,,REP,Ginny Caligiuri,1,0,1
Marion,WASHINGTON,United States Representative District 2,,REP,Ginny Caligiuri,4,0,4
Marion,LIBERTY,United States Representative District 2,,REP,Ginny Caligiuri,1,0,1
Marion,OTLEY,United States Representative District 2,,REP,Ginny Caligiuri,19,2,17
Marion,KNOXVILLE ONE,United States Representative District 2,,,Write-in,0,0,0
Marion,KNOXVILLE TWO,United States Representative District 2,,,Write-in,0,0,0
Marion,KNOXVILLE THREE,United States Representative District 2,,,Write-in,0,0,0
Marion,KNOXVILLE FOUR,United States Representative District 2,,,Write-in,0,0,0
Marion,PELLA ONE,United States Representative District 2,,,Write-in,0,0,0
Marion,PELLA TWO,United States Representative District 2,,,Write-in,0,0,0
Marion,PELLA THREE,United States Representative District 2,,,Write-in,0,0,0
Marion,PELLA FOUR,United States Representative District 2,,,Write-in,0,0,0
Marion,LAKE PRAIRIE,United States Representative District 2,,,Write-in,0,0,0
Marion,KNOXVILLE TOWNSHIP,United States Representative District 2,,,Write-in,0,0,0
Marion,CLAY,United States Representative District 2,,,Write-in,0,0,0
Marion,INDIANA,United States Representative District 2,,,Write-in,0,0,0
Marion,DALLAS,United States Representative District 2,,,Write-in,0,0,0
Marion,PLEASANTVILLE,United States Representative District 2,,,Write-in,0,0,0
Marion,WASHINGTON,United States Representative District 2,,,Write-in,0,0,0
Marion,LIBERTY,United States Representative District 2,,,Write-in,0,0,0
Marion,OTLEY,United States Representative District 2,,,Write-in,0,0,0
Marion,KNOXVILLE ONE,Governor,,REP,Kim Reynolds,85,15,70
Marion,KNOXVILLE TWO,Governor,,REP,Kim Reynolds,111,22,89
Marion,KNOXVILLE THREE,Governor,,REP,Kim Reynolds,123,30,93
Marion,KNOXVILLE FOUR,Governor,,REP,Kim Reynolds,85,22,63
Marion,PELLA ONE,Governor,,REP,Kim Reynolds,181,12,169
Marion,PELLA TWO,Governor,,REP,Kim Reynolds,208,17,191
Marion,PELLA THREE,Governor,,REP,Kim Reynolds,221,22,199
Marion,PELLA FOUR,Governor,,REP,Kim Reynolds,123,13,110
Marion,LAKE PRAIRIE,Governor,,REP,Kim Reynolds,165,21,144
Marion,KNOXVILLE TOWNSHIP,Governor,,REP,Kim Reynolds,244,76,168
Marion,CLAY,Governor,,REP,Kim Reynolds,66,14,52
Marion,INDIANA,Governor,,REP,Kim Reynolds,47,7,40
Marion,DALLAS,Governor,,REP,Kim Reynolds,73,7,66
Marion,PLEASANTVILLE,Governor,,REP,Kim Reynolds,158,28,130
Marion,WASHINGTON,Governor,,REP,Kim Reynolds,53,6,47
Marion,LIBERTY,Governor,,REP,Kim Reynolds,37,7,30
Marion,OTLEY,Governor,,REP,Kim Reynolds,124,14,110
Marion,KNOXVILLE ONE,Governor,,,Write-in,0,0,0
Marion,KNOXVILLE TWO,Governor,,,Write-in,0,0,0
Marion,KNOXVILLE THREE,Governor,,,Write-in,0,0,0
Marion,KNOXVILLE FOUR,Governor,,,Write-in,0,0,0
Marion,PELLA ONE,Governor,,,Write-in,1,0,1
Marion,PELLA TWO,Governor,,,Write-in,0,0,0
Marion,PELLA THREE,Governor,,,Write-in,0,0,0
Marion,PELLA FOUR,Governor,,,Write-in,0,0,0
Marion,LAKE PRAIRIE,Governor,,,Write-in,0,0,0
Marion,KNOXVILLE TOWNSHIP,Governor,,,Write-in,0,0,0
Marion,CLAY,Governor,,,Write-in,0,0,0
Marion,INDIANA,Governor,,,Write-in,0,0,0
Marion,DALLAS,Governor,,,Write-in,0,0,0
Marion,PLEASANTVILLE,Governor,,,Write-in,0,0,0
Marion,WASHINGTON,Governor,,,Write-in,0,0,0
Marion,LIBERTY,Governor,,,Write-in,1,0,1
Marion,OTLEY,Governor,,,Write-in,0,0,0
Marion,KNOXVILLE ONE,Secretary of State,,REP,Paul D. Pate,80,16,64
Marion,KNOXVILLE TWO,Secretary of State,,REP,Paul D. Pate,99,22,77
Marion,KNOXVILLE THREE,Secretary of State,,REP,Paul D. Pate,115,22,93
Marion,KNOXVILLE FOUR,Secretary of State,,REP,Paul D. Pate,82,21,61
Marion,PELLA ONE,Secretary of State,,REP,Paul D. Pate,172,11,161
Marion,PELLA TWO,Secretary of State,,REP,Paul D. Pate,191,16,175
Marion,PELLA THREE,Secretary of State,,REP,Paul D. Pate,208,20,188
Marion,PELLA FOUR,Secretary of State,,REP,Paul D. Pate,110,11,99
Marion,LAKE PRAIRIE,Secretary of State,,REP,Paul D. Pate,153,17,136
Marion,KNOXVILLE TOWNSHIP,Secretary of State,,REP,Paul D. Pate,231,71,160
Marion,CLAY,Secretary of State,,REP,Paul D. Pate,63,15,48
Marion,INDIANA,Secretary of State,,REP,Paul D. Pate,46,9,37
Marion,DALLAS,Secretary of State,,REP,Paul D. Pate,64,6,58
Marion,PLEASANTVILLE,Secretary of State,,REP,Paul D. Pate,148,25,123
Marion,WASHINGTON,Secretary of State,,REP,Paul D. Pate,44,6,38
Marion,LIBERTY,Secretary of State,,REP,Paul D. Pate,29,7,22
Marion,OTLEY,Secretary of State,,REP,Paul D. Pate,118,14,104
Marion,KNOXVILLE ONE,Secretary of State,,,Write-in,0,0,0
Marion,KNOXVILLE TWO,Secretary of State,,,Write-in,0,0,0
Marion,KNOXVILLE THREE,Secretary of State,,,Write-in,0,0,0
Marion,KNOXVILLE FOUR,Secretary of State,,,Write-in,0,0,0
Marion,PELLA ONE,Secretary of State,,,Write-in,0,0,0
Marion,PELLA TWO,Secretary of State,,,Write-in,0,0,0
Marion,PELLA THREE,Secretary of State,,,Write-in,0,0,0
Marion,PELLA FOUR,Secretary of State,,,Write-in,0,0,0
Marion,LAKE PRAIRIE,Secretary of State,,,Write-in,0,0,0
Marion,KNOXVILLE TOWNSHIP,Secretary of State,,,Write-in,0,0,0
Marion,CLAY,Secretary of State,,,Write-in,0,0,0
Marion,INDIANA,Secretary of State,,,Write-in,0,0,0
Marion,DALLAS,Secretary of State,,,Write-in,0,0,0
Marion,PLEASANTVILLE,Secretary of State,,,Write-in,0,0,0
Marion,WASHINGTON,Secretary of State,,,Write-in,0,0,0
Marion,LIBERTY,Secretary of State,,,Write-in,0,0,0
Marion,OTLEY,Secretary of State,,,Write-in,0,0,0
Marion,KNOXVILLE ONE,Auditor of State,,REP,Mary Mosiman,76,14,62
Marion,KNOXVILLE TWO,Auditor of State,,REP,Mary Mosiman,97,22,75
Marion,KNOXVILLE THREE,Auditor of State,,REP,Mary Mosiman,111,20,91
Marion,KNOXVILLE FOUR,Auditor of State,,REP,Mary Mosiman,78,21,57
