county,precinct,office,district,party,candidate,votes,absentee,polling
Webster,Badger-NW Cooper,United States Representative District 4,,REP,Cyndi Hanson,26,2,24
Webster,Clay-Roland,United States Representative District 4,,REP,Cyndi Hanson,9,0,9
Webster,Colfax-Duncombe,United States Representative District 4,,REP,Cyndi Hanson,10,1,9
Webster,Cooper,United States Representative District 4,,REP,Cyndi Hanson,3,0,3
Webster,Dayton-Burnside,United States Representative District 4,,REP,Cyndi Hanson,11,2,9
Webster,Deer Creek-Jackson,United States Representative District 4,,REP,Cyndi Hanson,13,1,12
Webster,Douglas,United States Representative District 4,,REP,Cyndi Hanson,13,1,12
Webster,Elkhorn,United States Representative District 4,,REP,Cyndi Hanson,8,0,8
Webster,Fort Dodge #1,United States Representative District 4,,REP,Cyndi Hanson,42,3,39
Webster,Fort Dodge #2,United States Representative District 4,,REP,Cyndi Hanson,26,0,26
Webster,Fort Dodge #3,United States Representative District 4,,REP,Cyndi Hanson,21,3,18
Webster,Fort Dodge #4,United States Representative District 4,,REP,Cyndi Hanson,6,0,6
Webster,Fort Dodge #5,United States Representative District 4,,REP,Cyndi Hanson,24,2,22
Webster,Fort Dodge #6,United States Representative District 4,,REP,Cyndi Hanson,1,0,1
Webster,Fort Dodge #7,United States Representative District 4,,REP,Cyndi Hanson,12,0,12
Webster,Fort Dodge #8,United States Representative District 4,,REP,Cyndi Hanson,4,1,3
Webster,Fort Dodge #9,United States Representative District 4,,REP,Cyndi Hanson,6,1,5
Webster,Fort Dodge #10,United States Representative District 4,,REP,Cyndi Hanson,19,1,18
Webster,Fort Dodge #11,United States Representative District 4,,REP,Cyndi Hanson,49,3,46
Webster,Fort Dodge #12,United States Representative District 4,,REP,Cyndi Hanson,13,1,12
Webster,Fulton,United States Representative District 4,,REP,Cyndi Hanson,10,0,10
Webster,Gowrie,United States Representative District 4,,REP,Cyndi Hanson,12,1,11
Webster,Johnson,United States Representative District 4,,REP,Cyndi Hanson,4,0,4
Webster,Lost Grove,United States Representative District 4,,REP,Cyndi Hanson,1,0,1
Webster,Newark,United States Representative District 4,,REP,Cyndi Hanson,4,0,4
Webster,Otho-Pleasant Valley,United States Representative District 4,,REP,Cyndi Hanson,10,0,10
Webster,Sumner-Webster-Yell- Hardin,United States Representative District 4,,REP,Cyndi Hanson,5,0,5
Webster,Washington,United States Representative District 4,,REP,Cyndi Hanson,3,0,3
Webster,Badger-NW Cooper,United States Representative District 4,,REP,Steve King,80,17,63
Webster,Clay-Roland,United States Representative District 4,,REP,Steve King,43,2,41
Webster,Colfax-Duncombe,United States Representative District 4,,REP,Steve King,13,3,10
Webster,Cooper,United States Representative District 4,,REP,Steve King,6,1,5
Webster,Dayton-Burnside,United States Representative District 4,,REP,Steve King,27,4,23
Webster,Deer Creek-Jackson,United States Representative District 4,,REP,Steve King,38,5,33
Webster,Douglas,United States Representative District 4,,REP,Steve King,46,7,39
Webster,Elkhorn,United States Representative District 4,,REP,Steve King,33,2,31
Webster,Fort Dodge #1,United States Representative District 4,,REP,Steve King,142,23,119
Webster,Fort Dodge #2,United States Representative District 4,,REP,Steve King,73,4,69
Webster,Fort Dodge #3,United States Representative District 4,,REP,Steve King,61,11,50
Webster,Fort Dodge #4,United States Representative District 4,,REP,Steve King,63,5,58
Webster,Fort Dodge #5,United States Representative District 4,,REP,Steve King,45,9,36
Webster,Fort Dodge #6,United States Representative District 4,,REP,Steve King,8,3,5
Webster,Fort Dodge #7,United States Representative District 4,,REP,Steve King,21,2,19
Webster,Fort Dodge #8,United States Representative District 4,,REP,Steve King,17,1,16
Webster,Fort Dodge #9,United States Representative District 4,,REP,Steve King,24,2,22
Webster,Fort Dodge #10,United States Representative District 4,,REP,Steve King,75,15,60
Webster,Fort Dodge #11,United States Representative District 4,,REP,Steve King,151,17,134
Webster,Fort Dodge #12,United States Representative District 4,,REP,Steve King,58,11,47
Webster,Fulton,United States Representative District 4,,REP,Steve King,18,1,17
Webster,Gowrie,United States Representative District 4,,REP,Steve King,61,4,57
Webster,Johnson,United States Representative District 4,,REP,Steve King,15,0,15
Webster,Lost Grove,United States Representative District 4,,REP,Steve King,22,0,22
Webster,Newark,United States Representative District 4,,REP,Steve King,23,0,23
Webster,Otho-Pleasant Valley,United States Representative District 4,,REP,Steve King,33,2,31
Webster,Sumner-Webster-Yell- Hardin,United States Representative District 4,,REP,Steve King,23,2,21
Webster,Washington,United States Representative District 4,,REP,Steve King,8,0,8
Webster,Badger-NW Cooper,United States Representative District 4,,,Write-in,0,0,0
Webster,Clay-Roland,United States Representative District 4,,,Write-in,0,0,0
Webster,Colfax-Duncombe,United States Representative District 4,,,Write-in,0,0,0
Webster,Cooper,United States Representative District 4,,,Write-in,0,0,0
Webster,Dayton-Burnside,United States Representative District 4,,,Write-in,0,0,0
Webster,Deer Creek-Jackson,United States Representative District 4,,,Write-in,0,0,0
Webster,Douglas,United States Representative District 4,,,Write-in,0,0,0
Webster,Elkhorn,United States Representative District 4,,,Write-in,0,0,0
Webster,Fort Dodge #1,United States Representative District 4,,,Write-in,0,0,0
Webster,Fort Dodge #2,United States Representative District 4,,,Write-in,0,0,0
Webster,Fort Dodge #3,United States Representative District 4,,,Write-in,0,0,0
Webster,Fort Dodge #4,United States Representative District 4,,,Write-in,0,0,0
Webster,Fort Dodge #5,United States Representative District 4,,,Write-in,0,0,0
