county,precinct,office,district,party,candidate,votes,group3,group1,group2,group4
Tama,Perry/Buckingham/E. Cryst,United States Representative District 1,,DEM,Abby Finkenauer,34,0,31,3,0
Tama,Carlton,United States Representative District 1,,DEM,Abby Finkenauer,30,0,28,2,0
Tama,Carroll/Oneida/N. Otter C,United States Representative District 1,,DEM,Abby Finkenauer,17,1,16,0,0
Tama,Clark/Geneseo,United States Representative District 1,,DEM,Abby Finkenauer,23,0,21,2,0
Tama,Columbia/Tama,United States Representative District 1,,DEM,Abby Finkenauer,88,0,83,5,0
Tama,S. Otter Creek,United States Representative District 1,,DEM,Abby Finkenauer,1,0,1,0,0
Tama,Spring Creek/W. Crystal,United States Representative District 1,,DEM,Abby Finkenauer,28,0,26,2,0
Tama,Grant,United States Representative District 1,,DEM,Abby Finkenauer,9,0,9,0,0
Tama,Highland/Indian Vill/Pt.,United States Representative District 1,,DEM,Abby Finkenauer,25,0,18,7,0
Tama,Indian Settlement,United States Representative District 1,,DEM,Abby Finkenauer,22,0,22,0,0
Tama,Lincoln,United States Representative District 1,,DEM,Abby Finkenauer,5,0,5,0,0
Tama,Richland/Salt Creek,United States Representative District 1,,DEM,Abby Finkenauer,13,0,12,1,0
Tama,Howard/Toledo/Toledo 1,United States Representative District 1,,DEM,Abby Finkenauer,43,0,38,5,0
Tama,Toledo 2,United States Representative District 1,,DEM,Abby Finkenauer,15,0,15,0,0
Tama,Toledo 3,United States Representative District 1,,DEM,Abby Finkenauer,32,0,30,2,0
Tama,York,United States Representative District 1,,DEM,Abby Finkenauer,15,0,13,2,0
Tama,Perry/Buckingham/E. Cryst,United States Representative District 1,,DEM,Thomas Heckroth,55,0,49,6,0
Tama,Carlton,United States Representative District 1,,DEM,Thomas Heckroth,16,0,14,2,0
Tama,Carroll/Oneida/N. Otter C,United States Representative District 1,,DEM,Thomas Heckroth,17,0,14,3,0
Tama,Clark/Geneseo,United States Representative District 1,,DEM,Thomas Heckroth,42,0,34,8,0
Tama,Columbia/Tama,United States Representative District 1,,DEM,Thomas Heckroth,29,0,27,2,0
Tama,S. Otter Creek,United States Representative District 1,,DEM,Thomas Heckroth,1,0,1,0,0
Tama,Spring Creek/W. Crystal,United States Representative District 1,,DEM,Thomas Heckroth,11,0,8,3,0
Tama,Grant,United States Representative District 1,,DEM,Thomas Heckroth,3,0,3,0,0
Tama,Highland/Indian Vill/Pt.,United States Representative District 1,,DEM,Thomas Heckroth,10,0,8,2,0
Tama,Indian Settlement,United States Representative District 1,,DEM,Thomas Heckroth,8,0,8,0,0
Tama,Lincoln,United States Representative District 1,,DEM,Thomas Heckroth,4,0,4,0,0
Tama,Richland/Salt Creek,United States Representative District 1,,DEM,Thomas Heckroth,5,0,5,0,0
Tama,Howard/Toledo/Toledo 1,United States Representative District 1,,DEM,Thomas Heckroth,17,0,16,1,0
