county,precinct,office,district,party,candidate,votes,av_counting_board,election_day
Wayne,A01 - Allerton,United States Representative District 2,,REP,Christopher Peters,61,0,61
Wayne,C02 - Corydon,United States Representative District 2,,REP,Christopher Peters,63,0,63
Wayne,H03 - Humeston,United States Representative District 2,,REP,Christopher Peters,42,0,42
Wayne,S04 - Seymour,United States Representative District 2,,REP,Christopher Peters,67,0,67
Wayne,A01 - Allerton,United States Representative District 2,,,Write-in,0,0,0
Wayne,C02 - Corydon,United States Representative District 2,,,Write-in,0,0,0
Wayne,H03 - Humeston,United States Representative District 2,,,Write-in,0,0,0
Wayne,S04 - Seymour,United States Representative District 2,,,Write-in,0,0,0
Wayne,A01 - Allerton,United States Representative District 2,,DEM,Dave Loebsack,46,0,46
Wayne,C02 - Corydon,United States Representative District 2,,DEM,Dave Loebsack,75,0,75
Wayne,H03 - Humeston,United States Representative District 2,,DEM,Dave Loebsack,49,0,49
Wayne,S04 - Seymour,United States Representative District 2,,DEM,Dave Loebsack,66,0,66
Wayne,A01 - Allerton,Governor,,REP,Kim Reynolds,71,0,71
Wayne,C02 - Corydon,Governor,,REP,Kim Reynolds,77,0,77
Wayne,H03 - Humeston,Governor,,REP,Kim Reynolds,47,0,47
Wayne,S04 - Seymour,Governor,,REP,Kim Reynolds,80,0,80
Wayne,A01 - Allerton,Governor,,,Write-in,0,0,0
Wayne,C02 - Corydon,Governor,,,Write-in,0,0,0
Wayne,H03 - Humeston,Governor,,,Write-in,0,0,0
Wayne,S04 - Seymour,Governor,,,Write-in,0,0,0
Wayne,A01 - Allerton,Governor,,DEM,Nate Boulton,2,0,2
Wayne,C02 - Corydon,Governor,,DEM,Nate Boulton,4,0,4
Wayne,H03 - Humeston,Governor,,DEM,Nate Boulton,1,0,1
Wayne,S04 - Seymour,Governor,,DEM,Nate Boulton,2,0,2
Wayne,A01 - Allerton,Governor,,DEM,Cathy Glasson,6,0,6
Wayne,C02 - Corydon,Governor,,DEM,Cathy Glasson,12,0,12
Wayne,H03 - Humeston,Governor,,DEM,Cathy Glasson,2,0,2
Wayne,S04 - Seymour,Governor,,DEM,Cathy Glasson,6,0,6
Wayne,A01 - Allerton,Governor,,DEM,Fred Hubbell,39,0,39
Wayne,C02 - Corydon,Governor,,DEM,Fred Hubbell,49,0,49
Wayne,H03 - Humeston,Governor,,DEM,Fred Hubbell,40,0,40
Wayne,S04 - Seymour,Governor,,DEM,Fred Hubbell,48,0,48
Wayne,A01 - Allerton,Governor,,DEM,Andrea Andy McGuire,2,0,2
Wayne,C02 - Corydon,Governor,,DEM,Andrea Andy McGuire,5,0,5
