office,district,candidate,party,reporting_level,jurisdiction,votes
United States Representative,1,BRUCE BRALEY,Democrat,county,Black Hawk,4223
United States Representative,1,RICK DICKINSON,Democrat,county,Black Hawk,919
United States Representative,1,BILL GLUBA,Democrat,county,Black Hawk,855
United States Representative,1,DENNY HEATH,Democrat,county,Black Hawk,213
United States Representative,1,Scattering,Democrat,county,Black Hawk,8
United States Representative,1,Totals,Democrat,county,Black Hawk,6218
United States Representative,1,BRUCE BRALEY,Democrat,county,Bremer,502
United States Representative,1,RICK DICKINSON,Democrat,county,Bremer,239
United States Representative,1,BILL GLUBA,Democrat,county,Bremer,199
United States Representative,1,DENNY HEATH,Democrat,county,Bremer,35
United States Representative,1,Scattering,Democrat,county,Bremer,1
United States Representative,1,Totals,Democrat,county,Bremer,976
United States Representative,1,BRUCE BRALEY,Democrat,county,Buchanan,577
United States Representative,1,RICK DICKINSON,Democrat,county,Buchanan,329
United States Representative,1,BILL GLUBA,Democrat,county,Buchanan,362
United States Representative,1,DENNY HEATH,Democrat,county,Buchanan,54
United States Representative,1,Scattering,Democrat,county,Buchanan,0
United States Representative,1,Totals,Democrat,county,Buchanan,1322
United States Representative,1,BRUCE BRALEY,Democrat,county,Butler,236
United States Representative,1,RICK DICKINSON,Democrat,county,Butler,92
United States Representative,1,BILL GLUBA,Democrat,county,Butler,107
United States Representative,1,DENNY HEATH,Democrat,county,Butler,24
United States Representative,1,Scattering,Democrat,county,Butler,2
United States Representative,1,Totals,Democrat,county,Butler,461
United States Representative,1,BRUCE BRALEY,Democrat,county,Clayton,319
United States Representative,1,RICK DICKINSON,Democrat,county,Clayton,385
United States Representative,1,BILL GLUBA,Democrat,county,Clayton,238
United States Representative,1,DENNY HEATH,Democrat,county,Clayton,53
United States Representative,1,Scattering,Democrat,county,Clayton,1
United States Representative,1,Totals,Democrat,county,Clayton,996
United States Representative,1,BRUCE BRALEY,Democrat,county,Clinton,453
United States Representative,1,RICK DICKINSON,Democrat,county,Clinton,569
United States Representative,1,BILL GLUBA,Democrat,county,Clinton,407
United States Representative,1,DENNY HEATH,Democrat,county,Clinton,277
United States Representative,1,Scattering,Democrat,county,Clinton,2
United States Representative,1,Totals,Democrat,county,Clinton,1708
United States Representative,1,BRUCE BRALEY,Democrat,county,Delaware,204
United States Representative,1,RICK DICKINSON,Democrat,county,Delaware,168
United States Representative,1,BILL GLUBA,Democrat,county,Delaware,193
United States Representative,1,DENNY HEATH,Democrat,county,Delaware,15
United States Representative,1,Scattering,Democrat,county,Delaware,0
United States Representative,1,Totals,Democrat,county,Delaware,580
United States Representative,1,BRUCE BRALEY,Democrat,county,Dubuque,1074
United States Representative,1,RICK DICKINSON,Democrat,county,Dubuque,4531
United States Representative,1,BILL GLUBA,Democrat,county,Dubuque,1723
United States Representative,1,DENNY HEATH,Democrat,county,Dubuque,119
United States Representative,1,Scattering,Democrat,county,Dubuque,4
United States Representative,1,Totals,Democrat,county,Dubuque,7451
United States Representative,1,BRUCE BRALEY,Democrat,county,Fayette,363
United States Representative,1,RICK DICKINSON,Democrat,county,Fayette,352
United States Representative,1,BILL GLUBA,Democrat,county,Fayette,231
United States Representative,1,DENNY HEATH,Democrat,county,Fayette,66
United States Representative,1,Scattering,Democrat,county,Fayette,1
United States Representative,1,Totals,Democrat,county,Fayette,1013
United States Representative,1,BRUCE BRALEY,Democrat,county,Jackson,190
United States Representative,1,RICK DICKINSON,Democrat,county,Jackson,1740
United States Representative,1,BILL GLUBA,Democrat,county,Jackson,213
United States Representative,1,DENNY HEATH,Democrat,county,Jackson,37
United States Representative,1,Scattering,Democrat,county,Jackson,0
United States Representative,1,Totals,Democrat,county,Jackson,2180
United States Representative,1,BRUCE BRALEY,Democrat,county,Jones,262
United States Representative,1,RICK DICKINSON,Democrat,county,Jones,209
United States Representative,1,BILL GLUBA,Democrat,county,Jones,309
United States Representative,1,DENNY HEATH,Democrat,county,Jones,26
United States Representative,1,Scattering,Democrat,county,Jones,1
United States Representative,1,Totals,Democrat,county,Jones,807
United States Representative,1,BRUCE BRALEY,Democrat,county,Scott,2086
United States Representative,1,RICK DICKINSON,Democrat,county,Scott,438
United States Representative,1,BILL GLUBA,Democrat,county,Scott,2616
United States Representative,1,DENNY HEATH,Democrat,county,Scott,242
United States Representative,1,Scattering,Democrat,county,Scott,3
United States Representative,1,Totals,Democrat,county,Scott,5385
United States Representative,1,BRUCE BRALEY,Democrat,county,Total,10489
United States Representative,1,RICK DICKINSON,Democrat,county,Total,9971
United States Representative,1,BILL GLUBA,Democrat,county,Total,7453
United States Representative,1,DENNY HEATH,Democrat,county,Total,1161
United States Representative,1,Scattering,Democrat,county,Total,23
United States Representative,1,Totals,Democrat,county,Total,29097
United States Representative,1,BILL DIX,Republican,county,Black Hawk,1815
United States Representative,1,BRIAN KENNEDY,Republican,county,Black Hawk,629
United States Representative,1,MIKE WHALEN,Republican,county,Black Hawk,1581
United States Representative,1,Scattering,Republican,county,Black Hawk,1
United States Representative,1,Totals,Republican,county,Black Hawk,4026
United States Representative,1,BILL DIX,Republican,county,Bremer,1182
United States Representative,1,BRIAN KENNEDY,Republican,county,Bremer,83
United States Representative,1,MIKE WHALEN,Republican,county,Bremer,212
United States Representative,1,Scattering,Republican,county,Bremer,1
United States Representative,1,Totals,Republican,county,Bremer,1478
United States Representative,1,BILL DIX,Republican,county,Buchanan,346
United States Representative,1,BRIAN KENNEDY,Republican,county,Buchanan,131
United States Representative,1,MIKE WHALEN,Republican,county,Buchanan,327
United States Representative,1,Scattering,Republican,county,Buchanan,0
United States Representative,1,Totals,Republican,county,Buchanan,804
United States Representative,1,BILL DIX,Republican,county,Butler,1468
United States Representative,1,BRIAN KENNEDY,Republican,county,Butler,100
United States Representative,1,MIKE WHALEN,Republican,county,Butler,177
United States Representative,1,Scattering,Republican,county,Butler,0
United States Representative,1,Totals,Republican,county,Butler,1745
United States Representative,1,BILL DIX,Republican,county,Clayton,297
United States Representative,1,BRIAN KENNEDY,Republican,county,Clayton,104
United States Representative,1,MIKE WHALEN,Republican,county,Clayton,250
United States Representative,1,Scattering,Republican,county,Clayton,0
United States Representative,1,Totals,Republican,county,Clayton,651
United States Representative,1,BILL DIX,Republican,county,Clinton,347
United States Representative,1,BRIAN KENNEDY,Republican,county,Clinton,180
United States Representative,1,MIKE WHALEN,Republican,county,Clinton,747
United States Representative,1,Scattering,Republican,county,Clinton,1
United States Representative,1,Totals,Republican,county,Clinton,1275
United States Representative,1,BILL DIX,Republican,county,Delaware,241
United States Representative,1,BRIAN KENNEDY,Republican,county,Delaware,104
United States Representative,1,MIKE WHALEN,Republican,county,Delaware,228
United States Representative,1,Scattering,Republican,county,Delaware,0
United States Representative,1,Totals,Republican,county,Delaware,573
United States Representative,1,BILL DIX,Republican,county,Dubuque,630
United States Representative,1,BRIAN KENNEDY,Republican,county,Dubuque,448
United States Representative,1,MIKE WHALEN,Republican,county,Dubuque,810
United States Representative,1,Scattering,Republican,county,Dubuque,3
United States Representative,1,Totals,Republican,county,Dubuque,1891
United States Representative,1,BILL DIX,Republican,county,Fayette,371
United States Representative,1,BRIAN KENNEDY,Republican,county,Fayette,85
United States Representative,1,MIKE WHALEN,Republican,county,Fayette,349
United States Representative,1,Scattering,Republican,county,Fayette,0
United States Representative,1,Totals,Republican,county,Fayette,805
United States Representative,1,BILL DIX,Republican,county,Jackson,105
United States Representative,1,BRIAN KENNEDY,Republican,county,Jackson,56
United States Representative,1,MIKE WHALEN,Republican,county,Jackson,243
United States Representative,1,Scattering,Republican,county,Jackson,0
United States Representative,1,Totals,Republican,county,Jackson,404
