office,county,candidate,party,votes
U.S. Senate,Adair,Charles E. Grassley,Republican Party,2708
U.S. Senate,Adair,Patty Judge,Democratic Party,894
U.S. Senate,Adair,Charles Aldrich,Libertarian Party,111
U.S. Senate,Adair,Jim Hennager,New Independent Party Iowa,46
U.S. Senate,Adair,Michael Luick-Thrams,Nominated by Petition,11
U.S. Senate,Adair,Write-In,,2
U.S. Senate,Adair,Under Votes,,76
U.S. Senate,Adair,Over Votes,,0
U.S. Senate,Adair,Total,,3848
U.S. Senate,Adams,Charles E. Grassley,Republican Party,1515
U.S. Senate,Adams,Patty Judge,Democratic Party,454
U.S. Senate,Adams,Charles Aldrich,Libertarian Party,58
U.S. Senate,Adams,Jim Hennager,New Independent Party Iowa,25
U.S. Senate,Adams,Michael Luick-Thrams,Nominated by Petition,9
U.S. Senate,Adams,Write-In,,1
U.S. Senate,Adams,Under Votes,,68
U.S. Senate,Adams,Over Votes,,1
U.S. Senate,Adams,Total,,2131
U.S. Senate,Allamakee,Charles E. Grassley,Republican Party,4473
U.S. Senate,Allamakee,Patty Judge,Democratic Party,2099
U.S. Senate,Allamakee,Charles Aldrich,Libertarian Party,168
U.S. Senate,Allamakee,Jim Hennager,New Independent Party Iowa,62
U.S. Senate,Allamakee,Michael Luick-Thrams,Nominated by Petition,24
U.S. Senate,Allamakee,Write-In,,1
U.S. Senate,Allamakee,Under Votes,,204
U.S. Senate,Allamakee,Over Votes,,4
U.S. Senate,Allamakee,Total,,7035
U.S. Senate,Appanoose,Charles E. Grassley,Republican Party,4122
U.S. Senate,Appanoose,Patty Judge,Democratic Party,1690
U.S. Senate,Appanoose,Charles Aldrich,Libertarian Party,121
U.S. Senate,Appanoose,Jim Hennager,New Independent Party Iowa,56
U.S. Senate,Appanoose,Michael Luick-Thrams,Nominated by Petition,18
U.S. Senate,Appanoose,Write-In,,6
U.S. Senate,Appanoose,Under Votes,,181
U.S. Senate,Appanoose,Over Votes,,2
U.S. Senate,Appanoose,Total,,6196
U.S. Senate,Audubon,Charles E. Grassley,Republican Party,2323
U.S. Senate,Audubon,Patty Judge,Democratic Party,847
U.S. Senate,Audubon,Charles Aldrich,Libertarian Party,70
U.S. Senate,Audubon,Jim Hennager,New Independent Party Iowa,35
U.S. Senate,Audubon,Michael Luick-Thrams,Nominated by Petition,7
U.S. Senate,Audubon,Write-In,,0
U.S. Senate,Audubon,Under Votes,,200
U.S. Senate,Audubon,Over Votes,,4
U.S. Senate,Audubon,Total,,3486
U.S. Senate,Benton,Charles E. Grassley,Republican Party,9351
U.S. Senate,Benton,Patty Judge,Democratic Party,3811
U.S. Senate,Benton,Charles Aldrich,Libertarian Party,355
U.S. Senate,Benton,Jim Hennager,New Independent Party Iowa,134
U.S. Senate,Benton,Michael Luick-Thrams,Nominated by Petition,26
U.S. Senate,Benton,Write-In,,8
U.S. Senate,Benton,Under Votes,,280
U.S. Senate,Benton,Over Votes,,6
