county,precinct,office,district,party,candidate,absentee,election_date,votes
Humboldt,Avery-North Weaver,President/Vice President,,Republican,Mitt Romney Paul Ryan,34.0,103.0,137.0
Humboldt,Avery-North Weaver,President/Vice President,,Democratic,Barack Obama Joe Biden,49.0,94.0,143.0
Humboldt,Avery-North Weaver,President/Vice President,,Constitution,Virgil Goode James Clymer,0.0,0.0,0.0
Humboldt,Avery-North Weaver,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,0.0,0.0,0.0
Humboldt,Avery-North Weaver,President/Vice President,,Libertarian,Gary Johnson James P. Gray,0.0,0.0,0.0
Humboldt,Avery-North Weaver,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,0.0,0.0
Humboldt,Avery-North Weaver,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,0.0,0.0,0.0
Humboldt,Avery-North Weaver,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,0.0,0.0,0.0
Humboldt,Avery-North Weaver,President/Vice President,,,Write-In,0.0,1.0,1.0
Humboldt,Avery-North Weaver,President/Vice President,,,Under Votes,0.0,0.0,0.0
Humboldt,Avery-North Weaver,President/Vice President,,,Over Votes,0.0,0.0,0.0
Humboldt,Dakota City-Grove,President/Vice President,,Republican,Mitt Romney Paul Ryan,128.0,214.0,342.0
Humboldt,Dakota City-Grove,President/Vice President,,Democratic,Barack Obama Joe Biden,102.0,121.0,223.0
Humboldt,Dakota City-Grove,President/Vice President,,Constitution,Virgil Goode James Clymer,1.0,1.0,2.0
Humboldt,Dakota City-Grove,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,2.0,2.0,4.0
Humboldt,Dakota City-Grove,President/Vice President,,Libertarian,Gary Johnson James P. Gray,0.0,2.0,2.0
Humboldt,Dakota City-Grove,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,1.0,0.0,1.0
Humboldt,Dakota City-Grove,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,1.0,0.0,1.0
Humboldt,Dakota City-Grove,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,0.0,0.0,0.0
Humboldt,Dakota City-Grove,President/Vice President,,,Write-In,1.0,5.0,6.0
Humboldt,Dakota City-Grove,President/Vice President,,,Under Votes,1.0,1.0,2.0
Humboldt,Dakota City-Grove,President/Vice President,,,Over Votes,3.0,0.0,3.0
Humboldt,Delana-Wacousta-North Rutland,President/Vice President,,Republican,Mitt Romney Paul Ryan,47.0,183.0,230.0
Humboldt,Delana-Wacousta-North Rutland,President/Vice President,,Democratic,Barack Obama Joe Biden,45.0,93.0,138.0
Humboldt,Delana-Wacousta-North Rutland,President/Vice President,,Constitution,Virgil Goode James Clymer,0.0,0.0,0.0
Humboldt,Delana-Wacousta-North Rutland,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,0.0,1.0,1.0
Humboldt,Delana-Wacousta-North Rutland,President/Vice President,,Libertarian,Gary Johnson James P. Gray,0.0,0.0,0.0
Humboldt,Delana-Wacousta-North Rutland,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,0.0,0.0
Humboldt,Delana-Wacousta-North Rutland,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,0.0,0.0,0.0
Humboldt,Delana-Wacousta-North Rutland,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,0.0,0.0,0.0
Humboldt,Delana-Wacousta-North Rutland,President/Vice President,,,Write-In,0.0,4.0,4.0
Humboldt,Delana-Wacousta-North Rutland,President/Vice President,,,Under Votes,0.0,3.0,3.0
Humboldt,Delana-Wacousta-North Rutland,President/Vice President,,,Over Votes,0.0,0.0,0.0
Humboldt,Humboldt 1-Corinth-South Weaver,President/Vice President,,Republican,Mitt Romney Paul Ryan,292.0,439.0,731.0
Humboldt,Humboldt 1-Corinth-South Weaver,President/Vice President,,Democratic,Barack Obama Joe Biden,193.0,186.0,379.0
Humboldt,Humboldt 1-Corinth-South Weaver,President/Vice President,,Constitution,Virgil Goode James Clymer,0.0,1.0,1.0
Humboldt,Humboldt 1-Corinth-South Weaver,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,1.0,0.0,1.0
Humboldt,Humboldt 1-Corinth-South Weaver,President/Vice President,,Libertarian,Gary Johnson James P. Gray,4.0,2.0,6.0
Humboldt,Humboldt 1-Corinth-South Weaver,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,1.0,1.0
Humboldt,Humboldt 1-Corinth-South Weaver,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,0.0,0.0,0.0
