office,candidate,party,county,votes
President/Vice President,Total,,Woodbury,45292
President/Vice President,Over Votes,,Woodbury,137
President/Vice President,Under Votes,,Woodbury,136
President/Vice President,Write-In,,Woodbury,306
President/Vice President,Jerry Litzel / Jim Litzel,Nominated by Petition,Woodbury,21
President/Vice President,James Harris / Alyson Kennedy,Socialist Workers Party,Woodbury,14
President/Vice President,Gloria LaRiva / Stefanie Beacham,Party for Socialism and Liberation,Woodbury,16
President/Vice President,Gary Johnson / James P. Gray,Libertarian,Woodbury,334
President/Vice President,Jill Stein / Cheri Honkala,Iowa Green Party,Woodbury,91
President/Vice President,Virgil Goode / James Clymer,Constitution,Woodbury,94
President/Vice President,Barack Obama / Joe Biden,Democratic,Woodbury,22302
President/Vice President,Mitt Romney / Paul Ryan,Republican,Woodbury,21841
President/Vice President,Total,,Story,47265
President/Vice President,Over Votes,,Story,20
President/Vice President,Under Votes,,Story,95
President/Vice President,Write-In,,Story,250
President/Vice President,Jerry Litzel / Jim Litzel,Nominated by Petition,Story,85
President/Vice President,James Harris / Alyson Kennedy,Socialist Workers Party,Story,12
President/Vice President,Gloria LaRiva / Stefanie Beacham,Party for Socialism and Liberation,Story,12
President/Vice President,Gary Johnson / James P. Gray,Libertarian,Story,727
President/Vice President,Jill Stein / Cheri Honkala,Iowa Green Party,Story,139
President/Vice President,Virgil Goode / James Clymer,Constitution,Story,65
President/Vice President,Barack Obama / Joe Biden,Democratic,Story,26192
President/Vice President,Mitt Romney / Paul Ryan,Republican,Story,19668
President/Vice President,Total,,Page,7109
President/Vice President,Over Votes,,Page,8
President/Vice President,Under Votes,,Page,22
President/Vice President,Write-In,,Page,30
President/Vice President,Jerry Litzel / Jim Litzel,Nominated by Petition,Page,5
President/Vice President,James Harris / Alyson Kennedy,Socialist Workers Party,Page,12
President/Vice President,Gloria LaRiva / Stefanie Beacham,Party for Socialism and Liberation,Page,1
President/Vice President,Gary Johnson / James P. Gray,Libertarian,Page,43
President/Vice President,Jill Stein / Cheri Honkala,Iowa Green Party,Page,12
President/Vice President,Virgil Goode / James Clymer,Constitution,Page,15
President/Vice President,Barack Obama / Joe Biden,Democratic,Page,2613
President/Vice President,Mitt Romney / Paul Ryan,Republican,Page,4348
President/Vice President,Total,,Madison,8509
President/Vice President,Over Votes,,Madison,12
President/Vice President,Under Votes,,Madison,39
President/Vice President,Write-In,,Madison,43
President/Vice President,Jerry Litzel / Jim Litzel,Nominated by Petition,Madison,11
President/Vice President,James Harris / Alyson Kennedy,Socialist Workers Party,Madison,3
President/Vice President,Gloria LaRiva / Stefanie Beacham,Party for Socialism and Liberation,Madison,0
President/Vice President,Gary Johnson / James P. Gray,Libertarian,Madison,90
President/Vice President,Jill Stein / Cheri Honkala,Iowa Green Party,Madison,14
President/Vice President,Virgil Goode / James Clymer,Constitution,Madison,29
President/Vice President,Barack Obama / Joe Biden,Democratic,Madison,3630
President/Vice President,Mitt Romney / Paul Ryan,Republican,Madison,4638
President/Vice President,Total,,Jackson,10330
President/Vice President,Over Votes,,Jackson,22
President/Vice President,Under Votes,,Jackson,66
President/Vice President,Write-In,,Jackson,49
President/Vice President,Jerry Litzel / Jim Litzel,Nominated by Petition,Jackson,3
President/Vice President,James Harris / Alyson Kennedy,Socialist Workers Party,Jackson,1
President/Vice President,Gloria LaRiva / Stefanie Beacham,Party for Socialism and Liberation,Jackson,1
President/Vice President,Gary Johnson / James P. Gray,Libertarian,Jackson,67
