county,precinct,office,district,party,candidate,votes,election_day,absentee
Washington,Ainsworth,President and Vice President,,DEM,Joseph R. Biden and Kamala D. Harris,503,120,383
Washington,Brighton/Marion/Crawford,President and Vice President,,DEM,Joseph R. Biden and Kamala D. Harris,284,66,218
Washington,Kalona,President and Vice President,,DEM,Joseph R. Biden and Kamala D. Harris,690,163,527
Washington,Riverside,President and Vice President,,DEM,Joseph R. Biden and Kamala D. Harris,453,196,257
Washington,Ward 1,President and Vice President,,DEM,Joseph R. Biden and Kamala D. Harris,371,47,324
Washington,Ward 2,President and Vice President,,DEM,Joseph R. Biden and Kamala D. Harris,456,76,380
Washington,Ward 3,President and Vice President,,DEM,Joseph R. Biden and Kamala D. Harris,531,82,449
Washington,Ward 4,President and Vice President,,DEM,Joseph R. Biden and Kamala D. Harris,519,78,441
Washington,Wellman,President and Vice President,,DEM,Joseph R. Biden and Kamala D. Harris,567,144,423
Washington,West Chester,President and Vice President,,DEM,Joseph R. Biden and Kamala D. Harris,187,42,145
Washington,Ainsworth,President and Vice President,,REP,Donald J. Trump and Michael R. Pence,825,484,341
Washington,Brighton/Marion/Crawford,President and Vice President,,REP,Donald J. Trump and Michael R. Pence,803,423,380
Washington,Kalona,President and Vice President,,REP,Donald J. Trump and Michael R. Pence,904,549,355
Washington,Riverside,President and Vice President,,REP,Donald J. Trump and Michael R. Pence,410,281,129
Washington,Ward 1,President and Vice President,,REP,Donald J. Trump and Michael R. Pence,469,164,305
Washington,Ward 2,President and Vice President,,REP,Donald J. Trump and Michael R. Pence,666,304,362
Washington,Ward 3,President and Vice President,,REP,Donald J. Trump and Michael R. Pence,598,216,382
Washington,Ward 4,President and Vice President,,REP,Donald J. Trump and Michael R. Pence,716,260,456
Washington,Wellman,President and Vice President,,REP,Donald J. Trump and Michael R. Pence,1046,599,447
Washington,West Chester,President and Vice President,,REP,Donald J. Trump and Michael R. Pence,534,303,231
Washington,Ainsworth,President and Vice President,,ALL,Roque Rocky De La Fuente and Darcy G. Richardson,1,1,0
