county,precinct,office,district,candidate,party,votes,absentee,election_day
Mills,Emerson/Hastings/Indian Creek,U.S. Senate,,Michael Franken,DEM,70,13,57
Mills,Glenwood Township,U.S. Senate,,Michael Franken,DEM,185,82,103
Mills,Glenwood Ward 1,U.S. Senate,,Michael Franken,DEM,129,62,67
Mills,Glenwood Ward 2,U.S. Senate,,Michael Franken,DEM,165,58,107
Mills,Glenwood Ward 3,U.S. Senate,,Michael Franken,DEM,247,108,139
Mills,Deer Creek and White Cloud,U.S. Senate,,Michael Franken,DEM,24,10,14
Mills,Henderson/Anderson,U.S. Senate,,Michael Franken,DEM,48,10,38
Mills,Malvern/Tabor/Silver Creek/Center/Rawles,U.S. Senate,,Michael Franken,DEM,305,105,200
Mills,Oak/St Mary,U.S. Senate,,Michael Franken,DEM,364,153,211
Mills,Pacific Junction/Lyons/Plattville,U.S. Senate,,Michael Franken,DEM,57,24,33
Mills,Silver City/Ingraham,U.S. Senate,,Michael Franken,DEM,60,7,53
Mills,Emerson/Hastings/Indian Creek,U.S. Senate,,Chuck Grassley,REP,239,23,216
Mills,Glenwood Township,U.S. Senate,,Chuck Grassley,REP,392,111,281
Mills,Glenwood Ward 1,U.S. Senate,,Chuck Grassley,REP,281,98,183
Mills,Glenwood Ward 2,U.S. Senate,,Chuck Grassley,REP,315,77,238
Mills,Glenwood Ward 3,U.S. Senate,,Chuck Grassley,REP,400,105,295
Mills,Deer Creek and White Cloud,U.S. Senate,,Chuck Grassley,REP,108,31,77
Mills,Henderson/Anderson,U.S. Senate,,Chuck Grassley,REP,120,18,102
Mills,Malvern/Tabor/Silver Creek/Center/Rawles,U.S. Senate,,Chuck Grassley,REP,739,175,564
Mills,Oak/St Mary,U.S. Senate,,Chuck Grassley,REP,961,231,730
Mills,Pacific Junction/Lyons/Plattville,U.S. Senate,,Chuck Grassley,REP,203,58,145
Mills,Silver City/Ingraham,U.S. Senate,,Chuck Grassley,REP,179,18,161
Mills,Emerson/Hastings/Indian Creek,U.S. Senate,,Write-in,,1,0,1
Mills,Glenwood Township,U.S. Senate,,Write-in,,0,0,0
Mills,Glenwood Ward 1,U.S. Senate,,Write-in,,0,0,0
Mills,Glenwood Ward 2,U.S. Senate,,Write-in,,1,0,1
Mills,Glenwood Ward 3,U.S. Senate,,Write-in,,1,0,1
