office,candidate,party,county,votes
President/Vice President,Bergland / Lewis,Libertarian,ADAIR,6
President/Vice President,Baker / Alger,Big Deal,ADAIR,3
President/Vice President,Serrette / Ross,Nominated by Petition,ADAIR,1
President/Vice President,Mason / Zimmerman,Socialist Workers,ADAIR,0
President/Vice President,LaRouche / Davis,Nominated by Petition,ADAIR,8
President/Vice President,Mondale / Ferraro,Democratic,ADAIR,1979
President/Vice President,Reagan / Bush,Republican,ADAIR,2615
President/Vice President,Hall / Davis,Communist,ADAIR,0
President/Vice President,Bergland / Lewis,Libertarian,ADAMS,0
President/Vice President,Baker / Alger,Big Deal,ADAMS,2
President/Vice President,Serrette / Ross,Nominated by Petition,ADAMS,2
President/Vice President,Mason / Zimmerman,Socialist Workers,ADAMS,0
President/Vice President,LaRouche / Davis,Nominated by Petition,ADAMS,19
President/Vice President,Mondale / Ferraro,Democratic,ADAMS,1221
President/Vice President,Reagan / Bush,Republican,ADAMS,1706
President/Vice President,Hall / Davis,Communist,ADAMS,0
President/Vice President,Bergland / Lewis,Libertarian,ALLAMAKEE,3
President/Vice President,Baker / Alger,Big Deal,ALLAMAKEE,9
President/Vice President,Serrette / Ross,Nominated by Petition,ALLAMAKEE,2
President/Vice President,Mason / Zimmerman,Socialist Workers,ALLAMAKEE,3
President/Vice President,LaRouche / Davis,Nominated by Petition,ALLAMAKEE,51
President/Vice President,Mondale / Ferraro,Democratic,ALLAMAKEE,2282
President/Vice President,Reagan / Bush,Republican,ALLAMAKEE,3997
President/Vice President,Hall / Davis,Communist,ALLAMAKEE,2
President/Vice President,Bergland / Lewis,Libertarian,APPANOOSE,6
President/Vice President,Baker / Alger,Big Deal,APPANOOSE,6
President/Vice President,Serrette / Ross,Nominated by Petition,APPANOOSE,4
President/Vice President,Mason / Zimmerman,Socialist Workers,APPANOOSE,1
President/Vice President,LaRouche / Davis,Nominated by Petition,APPANOOSE,37
President/Vice President,Mondale / Ferraro,Democratic,APPANOOSE,3289
President/Vice President,Reagan / Bush,Republican,APPANOOSE,3412
President/Vice President,Hall / Davis,Communist,APPANOOSE,3
President/Vice President,Bergland / Lewis,Libertarian,AUDUBON,4
President/Vice President,Baker / Alger,Big Deal,AUDUBON,3
President/Vice President,Serrette / Ross,Nominated by Petition,AUDUBON,1
President/Vice President,Mason / Zimmerman,Socialist Workers,AUDUBON,0
President/Vice President,LaRouche / Davis,Nominated by Petition,AUDUBON,26
President/Vice President,Mondale / Ferraro,Democratic,AUDUBON,1854
President/Vice President,Reagan / Bush,Republican,AUDUBON,2306
President/Vice President,Hall / Davis,Communist,AUDUBON,0
President/Vice President,Bergland / Lewis,Libertarian,BENTON,11
President/Vice President,Baker / Alger,Big Deal,BENTON,12
President/Vice President,Serrette / Ross,Nominated by Petition,BENTON,3
President/Vice President,Mason / Zimmerman,Socialist Workers,BENTON,1
President/Vice President,LaRouche / Davis,Nominated by Petition,BENTON,82
President/Vice President,Mondale / Ferraro,Democratic,BENTON,4993
President/Vice President,Reagan / Bush,Republican,BENTON,5566
President/Vice President,Hall / Davis,Communist,BENTON,2
President/Vice President,Bergland / Lewis,Libertarian,BLACK HAWK,74
President/Vice President,Baker / Alger,Big Deal,BLACK HAWK,58
President/Vice President,Serrette / Ross,Nominated by Petition,BLACK HAWK,20
President/Vice President,Mason / Zimmerman,Socialist Workers,BLACK HAWK,11
President/Vice President,LaRouche / Davis,Nominated by Petition,BLACK HAWK,282
President/Vice President,Mondale / Ferraro,Democratic,BLACK HAWK,31467
President/Vice President,Reagan / Bush,Republican,BLACK HAWK,32262
President/Vice President,Hall / Davis,Communist,BLACK HAWK,13
President/Vice President,Bergland / Lewis,Libertarian,BOONE,4
President/Vice President,Baker / Alger,Big Deal,BOONE,4
President/Vice President,Serrette / Ross,Nominated by Petition,BOONE,2
President/Vice President,Mason / Zimmerman,Socialist Workers,BOONE,0
President/Vice President,LaRouche / Davis,Nominated by Petition,BOONE,22
President/Vice President,Mondale / Ferraro,Democratic,BOONE,6485
President/Vice President,Reagan / Bush,Republican,BOONE,5746
President/Vice President,Hall / Davis,Communist,BOONE,10
President/Vice President,Bergland / Lewis,Libertarian,BREMER,13
President/Vice President,Baker / Alger,Big Deal,BREMER,6
President/Vice President,Serrette / Ross,Nominated by Petition,BREMER,3
President/Vice President,Mason / Zimmerman,Socialist Workers,BREMER,3
President/Vice President,LaRouche / Davis,Nominated by Petition,BREMER,44
President/Vice President,Mondale / Ferraro,Democratic,BREMER,4084
President/Vice President,Reagan / Bush,Republican,BREMER,6895
President/Vice President,Hall / Davis,Communist,BREMER,1
President/Vice President,Bergland / Lewis,Libertarian,BUCHANAN,12
President/Vice President,Baker / Alger,Big Deal,BUCHANAN,1
President/Vice President,Serrette / Ross,Nominated by Petition,BUCHANAN,4
President/Vice President,Mason / Zimmerman,Socialist Workers,BUCHANAN,0
