office,candidate,party,county,votes
President/Vice President,Clinton / Gore,Democratic,ADAIR,1655
President/Vice President,Herer / Grimmer,Grass Roots,ADAIR,0
President/Vice President,Gritz / Minett,America First,ADAIR,1
President/Vice President,Bush / Quale,Republican,ADAIR,1713
President/Vice President,Perot / Stockdale,Nominated by Petition,ADAIR,814
President/Vice President,Warren / Rein,Socialist Workers,ADAIR,0
President/Vice President,Yiamouyiannis / McCone,Nominated by Petition,ADAIR,6
President/Vice President,Ehlers / Wendt,Nominated by Petition,ADAIR,0
President/Vice President,Marrou / Lord,Libertarian,ADAIR,3
President/Vice President,Clinton / Gore,Democratic,ADAMS,1034
President/Vice President,Herer / Grimmer,Grass Roots,ADAMS,0
President/Vice President,Gritz / Minett,America First,ADAMS,10
President/Vice President,Bush / Quale,Republican,ADAMS,863
President/Vice President,Perot / Stockdale,Nominated by Petition,ADAMS,679
President/Vice President,Warren / Rein,Socialist Workers,ADAMS,0
President/Vice President,Yiamouyiannis / McCone,Nominated by Petition,ADAMS,3
President/Vice President,Ehlers / Wendt,Nominated by Petition,ADAMS,2
President/Vice President,Marrou / Lord,Libertarian,ADAMS,1
President/Vice President,Clinton / Gore,Democratic,ALLAMAKEE,2362
President/Vice President,Herer / Grimmer,Grass Roots,ALLAMAKEE,3
President/Vice President,Gritz / Minett,America First,ALLAMAKEE,111
President/Vice President,Bush / Quale,Republican,ALLAMAKEE,2627
President/Vice President,Perot / Stockdale,Nominated by Petition,ALLAMAKEE,1543
President/Vice President,Warren / Rein,Socialist Workers,ALLAMAKEE,1
President/Vice President,Yiamouyiannis / McCone,Nominated by Petition,ALLAMAKEE,1
President/Vice President,Ehlers / Wendt,Nominated by Petition,ALLAMAKEE,20
President/Vice President,Marrou / Lord,Libertarian,ALLAMAKEE,1
President/Vice President,Clinton / Gore,Democratic,APPANOOSE,2810
President/Vice President,Herer / Grimmer,Grass Roots,APPANOOSE,4
President/Vice President,Gritz / Minett,America First,APPANOOSE,4
President/Vice President,Bush / Quale,Republican,APPANOOSE,2346
President/Vice President,Perot / Stockdale,Nominated by Petition,APPANOOSE,1161
President/Vice President,Warren / Rein,Socialist Workers,APPANOOSE,3
President/Vice President,Yiamouyiannis / McCone,Nominated by Petition,APPANOOSE,4
President/Vice President,Ehlers / Wendt,Nominated by Petition,APPANOOSE,25
President/Vice President,Marrou / Lord,Libertarian,APPANOOSE,3
President/Vice President,Clinton / Gore,Democratic,AUDUBON,1589
President/Vice President,Herer / Grimmer,Grass Roots,AUDUBON,2
President/Vice President,Gritz / Minett,America First,AUDUBON,4
President/Vice President,Bush / Quale,Republican,AUDUBON,1373
President/Vice President,Perot / Stockdale,Nominated by Petition,AUDUBON,887
President/Vice President,Warren / Rein,Socialist Workers,AUDUBON,1
President/Vice President,Yiamouyiannis / McCone,Nominated by Petition,AUDUBON,2
President/Vice President,Ehlers / Wendt,Nominated by Petition,AUDUBON,6
President/Vice President,Marrou / Lord,Libertarian,AUDUBON,1
President/Vice President,Clinton / Gore,Democratic,BENTON,4467
President/Vice President,Herer / Grimmer,Grass Roots,BENTON,5
President/Vice President,Gritz / Minett,America First,BENTON,19
President/Vice President,Bush / Quale,Republican,BENTON,3469
President/Vice President,Perot / Stockdale,Nominated by Petition,BENTON,2454
President/Vice President,Warren / Rein,Socialist Workers,BENTON,1
President/Vice President,Yiamouyiannis / McCone,Nominated by Petition,BENTON,1
President/Vice President,Ehlers / Wendt,Nominated by Petition,BENTON,1
President/Vice President,Marrou / Lord,Libertarian,BENTON,3
President/Vice President,Clinton / Gore,Democratic,BLACK HAWK,29584
President/Vice President,Herer / Grimmer,Grass Roots,BLACK HAWK,71
President/Vice President,Gritz / Minett,America First,BLACK HAWK,51
President/Vice President,Bush / Quale,Republican,BLACK HAWK,21398
President/Vice President,Perot / Stockdale,Nominated by Petition,BLACK HAWK,10182
President/Vice President,Warren / Rein,Socialist Workers,BLACK HAWK,15
President/Vice President,Yiamouyiannis / McCone,Nominated by Petition,BLACK HAWK,18
President/Vice President,Ehlers / Wendt,Nominated by Petition,BLACK HAWK,50
President/Vice President,Marrou / Lord,Libertarian,BLACK HAWK,40
President/Vice President,Clinton / Gore,Democratic,BOONE,5913
President/Vice President,Herer / Grimmer,Grass Roots,BOONE,16
President/Vice President,Gritz / Minett,America First,BOONE,24
President/Vice President,Bush / Quale,Republican,BOONE,4148
President/Vice President,Perot / Stockdale,Nominated by Petition,BOONE,2070
President/Vice President,Warren / Rein,Socialist Workers,BOONE,3
President/Vice President,Yiamouyiannis / McCone,Nominated by Petition,BOONE,8
President/Vice President,Ehlers / Wendt,Nominated by Petition,BOONE,4
President/Vice President,Marrou / Lord,Libertarian,BOONE,6
President/Vice President,Clinton / Gore,Democratic,BREMER,4774
President/Vice President,Herer / Grimmer,Grass Roots,BREMER,25
President/Vice President,Gritz / Minett,America First,BREMER,13
President/Vice President,Bush / Quale,Republican,BREMER,4482
President/Vice President,Perot / Stockdale,Nominated by Petition,BREMER,2338
President/Vice President,Warren / Rein,Socialist Workers,BREMER,3
President/Vice President,Yiamouyiannis / McCone,Nominated by Petition,BREMER,14
President/Vice President,Ehlers / Wendt,Nominated by Petition,BREMER,31
President/Vice President,Marrou / Lord,Libertarian,BREMER,6
President/Vice President,Clinton / Gore,Democratic,BUCHANAN,4166
President/Vice President,Herer / Grimmer,Grass Roots,BUCHANAN,5
President/Vice President,Gritz / Minett,America First,BUCHANAN,18
President/Vice President,Bush / Quale,Republican,BUCHANAN,3313
President/Vice President,Perot / Stockdale,Nominated by Petition,BUCHANAN,2126
President/Vice President,Warren / Rein,Socialist Workers,BUCHANAN,2
President/Vice President,Yiamouyiannis / McCone,Nominated by Petition,BUCHANAN,2
President/Vice President,Ehlers / Wendt,Nominated by Petition,BUCHANAN,2
President/Vice President,Marrou / Lord,Libertarian,BUCHANAN,4
President/Vice President,Clinton / Gore,Democratic,BUENA VISTA,3374
President/Vice President,Herer / Grimmer,Grass Roots,BUENA VISTA,8
President/Vice President,Gritz / Minett,America First,BUENA VISTA,8
President/Vice President,Bush / Quale,Republican,BUENA VISTA,3863
President/Vice President,Perot / Stockdale,Nominated by Petition,BUENA VISTA,1955
President/Vice President,Warren / Rein,Socialist Workers,BUENA VISTA,3
President/Vice President,Yiamouyiannis / McCone,Nominated by Petition,BUENA VISTA,4
President/Vice President,Ehlers / Wendt,Nominated by Petition,BUENA VISTA,17
President/Vice President,Marrou / Lord,Libertarian,BUENA VISTA,8
President/Vice President,Clinton / Gore,Democratic,BUTLER,2548
President/Vice President,Herer / Grimmer,Grass Roots,BUTLER,14
President/Vice President,Gritz / Minett,America First,BUTLER,3
President/Vice President,Bush / Quale,Republican,BUTLER,3209
President/Vice President,Perot / Stockdale,Nominated by Petition,BUTLER,1333
President/Vice President,Warren / Rein,Socialist Workers,BUTLER,4
President/Vice President,Yiamouyiannis / McCone,Nominated by Petition,BUTLER,7
President/Vice President,Ehlers / Wendt,Nominated by Petition,BUTLER,1
President/Vice President,Marrou / Lord,Libertarian,BUTLER,1
President/Vice President,Clinton / Gore,Democratic,CALHOUN,2140
President/Vice President,Herer / Grimmer,Grass Roots,CALHOUN,2
President/Vice President,Gritz / Minett,America First,CALHOUN,5
President/Vice President,Bush / Quale,Republican,CALHOUN,2169
President/Vice President,Perot / Stockdale,Nominated by Petition,CALHOUN,946
President/Vice President,Warren / Rein,Socialist Workers,CALHOUN,0
President/Vice President,Yiamouyiannis / McCone,Nominated by Petition,CALHOUN,1
President/Vice President,Ehlers / Wendt,Nominated by Petition,CALHOUN,3
President/Vice President,Marrou / Lord,Libertarian,CALHOUN,2
President/Vice President,Clinton / Gore,Democratic,CARROLL,3800
President/Vice President,Herer / Grimmer,Grass Roots,CARROLL,0
President/Vice President,Gritz / Minett,America First,CARROLL,6
President/Vice President,Bush / Quale,Republican,CARROLL,3439
